epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.4263378459376743,0.7275065284177481,-0.05211693162367825,0.29508390663618067,0.00480397673553776,0.13034587458943028,-1.076070021499287,0.45153800736774097,-0.19527627180584453,0.10101165249943733,0.00785288944925097,-0.19937076114795424,51.92282032966614,1.86177396774292
1,-0.4628641831587596,0.3041528220995363,-0.06526091164791485,0.24214582782552904,0.010704126882265848,0.05064499554370182,-1.0651850754564458,0.25831071219661017,-0.1971942497078668,0.10249539769508621,0.013249040708284487,-0.21338494342159142,47.40418457984924,1.708540678024292
2,-0.4598760933402073,0.21608536394245653,-0.06358250669282244,0.2469035420252616,0.014427648313029343,0.04991783744778978,-1.0445872220126065,0.21876626529476859,-0.18680984374474396,0.11497022347016768,0.015797153326936743,-0.19610967436297375,32.34389138221741,1.824272632598877
3,-0.492353394506948,0.22018143606473164,-0.10672971731927021,0.2495564200791968,0.015406647023845869,0.006237943207912417,-1.071485075083646,0.23399505019187927,-0.18832164325497366,0.09744717112996361,0.014715306503190235,-0.20863175536082548,33.8486647605896,1.7742030620574951
4,-0.536797602363604,0.23679220945720214,-0.09066116042345403,0.25280771835381727,0.015557532765375203,0.021299687977206994,-1.0636228864843196,0.2221339304338802,-0.17704771594567734,0.1095483350482854,0.015162423041395166,-0.19126002393154937,38.51916527748108,1.7498104572296143
5,-0.5201014368850962,0.20431783319596786,-0.12581290618841906,0.25519508688923825,0.016903188539646476,-0.012890532657683614,-1.0270801186561584,0.16540815207091245,-0.21657916293902832,0.1016997904940085,0.016142051328312267,-0.2357544092969461,31.64767575263977,1.8559517860412598
6,-0.5176959846909326,0.1716927016176373,-0.11010644233684583,0.2546956160341401,0.016785997858113914,-0.0005729559315256326,-0.9986477981914174,0.15025086904113943,-0.20394359910014,0.10543989119204608,0.014383388429202816,-0.2216799587688663,29.008516550064087,1.829458236694336
7,-0.5123995795049312,0.1589721539113895,-0.10455850377140274,0.26078035835042057,0.01586530879925353,0.006354236122534935,-0.9837014404210177,0.15922938693653454,-0.21635652231899175,0.11134450476277959,0.013658331707119942,-0.22947314406999134,27.133079051971436,1.7732844352722168
8,-0.5304975488660745,0.15835934886372233,-0.09415913581937911,0.2611788218638983,0.0150161558840738,0.014232606458735753,-0.9798906553875316,0.16594663465564902,-0.18449725515463136,0.09708385677500204,0.015401042151180181,-0.2019486901434985,27.60141658782959,1.8267011642456055
9,-0.5825086943356388,0.13470614171889891,-0.08581446788935776,0.2522334529154272,0.015503573646566954,0.011025577581611025,-0.9746687899936329,0.13094408945603805,-0.20459341765804726,0.09899832951751622,0.015225449238311161,-0.22424127627164125,26.928799390792847,1.8485958576202393
10,-0.5978724595653006,0.12564674558409725,-0.11650780063818197,0.2649107096065958,0.017004837938416076,-0.014270181846187776,-0.9610102718526666,0.13352373377843338,-0.21441262012178247,0.09768293797969818,0.01731111244721846,-0.23100869763981213,31.96079111099243,1.7979369163513184
11,-0.6151270625821079,0.14610603891582374,-0.1264564004805253,0.25561699549476785,0.01747552934383233,-0.028074474421789848,-0.9465414990078319,0.12454949996688149,-0.20009948694231836,0.10607284680008888,0.017035035501149567,-0.2122272283516147,29.920743942260742,1.8234996795654297
