epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.8936998222336591,0.56647449522932,-0.01636986502785688,0.18331760505788794,0.0024369626646539386,0.04500336487011584,-0.5819576328450983,0.3996869244358756,-0.23015896781263026,0.21309152922847055,0.007014001973650672,-0.13482627746733752,284.28384709358215,8.477988243103027
1,-0.8930258763318655,0.23112598444535354,-0.030350250722927467,0.17000542528857696,0.0058013145223251225,-0.005736217951558739,-0.6104430461471732,0.21021259372884576,-0.20063146711750465,0.1931217204440724,0.010466898791491985,-0.13362674618309195,236.7331986427307,8.577435731887817
2,-0.8488020107963897,0.14214362559195992,-0.046185643486156364,0.15639331783646734,0.009173917833271776,-0.029480908066034317,-0.6368994916027243,0.17276791550896384,-0.13466320356184786,0.18359520083123987,0.014216418293389406,-0.07506234554404562,444.06295466423035,9.003687620162964
3,-0.904324486016113,0.13821432690754115,-0.07495682803200227,0.1835658517535602,0.012937416960093602,-0.04684749887995074,-0.6239239925687964,0.1846920387311415,-0.12278358028693633,0.18133281035856766,0.018097989007153294,-0.057942372831431305,469.18918681144714,10.576183319091797
4,-0.8494511397433615,0.12417880605871433,-0.030604424799365974,0.1596638789818248,0.013470105374249343,-0.00982961153054488,-0.6174437051469629,0.1429822634566914,-0.09893061339177868,0.2131109738891775,0.022976064885204487,-0.01684521392665126,421.16407465934753,12.570718050003052
5,-0.8528730595989205,0.1374641328214485,-0.04987832197318916,0.1413731516956865,0.012051139068224024,-0.03868150082634431,-0.5757701830430464,0.0953288965604522,-0.25620882619511,0.21765221113508398,0.02160917171700434,-0.17381766777146945,369.2206473350525,11.368886470794678
6,-0.7490280208604359,0.08265454618033961,0.000906543798307305,0.10000700098310084,0.007594910686884334,-0.008132392366495088,-0.5430835851214149,0.0785660669207573,-0.30276307150382886,0.2447012960910797,0.023669133301485668,-0.2031950598413294,266.68463349342346,11.129306554794312
7,-0.6860730430790197,0.09522379398624474,-0.000872816487104484,0.08616956904809052,0.007180409715402105,-0.009692549605409955,-0.423380471765995,0.18096434257247232,-0.14593487791717052,0.2156524813987992,0.023952175270427357,-0.03839808465404944,228.4515836238861,9.806960105895996
8,-0.6269570461291576,0.10894683852931049,0.01266148387645937,0.1134666910429842,0.009359391562849562,0.026953200009982234,-0.5368913330815055,0.08057560703971169,-0.2849137647585435,0.23294451087713242,0.023726554756814785,-0.1903465354645794,188.64043474197388,9.373576641082764
9,-0.7278016855435394,0.09346192803616836,0.018541700119657493,0.128067111962031,0.01061812848522911,0.029759403631508908,-0.5929278311404315,0.07910813188010996,-0.20551905239170248,0.2363354509527033,0.02399324473332275,-0.1147400660609657,204.08603715896606,9.074976205825806
10,-0.7532443486537054,0.0662143161851112,0.012043512540660196,0.06826050957867928,0.005297323108148091,-0.01723191248923192,-0.6244224933060732,0.056147282773798164,-0.2744662602516738,0.255603165789084,0.023766739124601536,-0.1797254564748569,181.44070315361023,9.324828147888184
11,-0.8589699972577602,0.050100810808416836,0.012438748355770742,0.06216035859679918,0.004866490967470722,-0.03250149958636438,-0.6289087479764764,0.04043271358717571,-0.42211949080228806,0.23517660254781897,0.02380823242393407,-0.3395705670118332,194.03447222709656,10.83252763748169
12,-0.8125398986598599,0.03821463451207241,-0.009441793996353294,0.09998510838225136,0.006510454354585784,-0.03037131249156093,-0.545175316658887,0.029266609556295654,-0.3693451827222651,0.23772159896113657,0.02140684256499464,-0.28066840022802353,268.9835276603699,13.607964038848877
13,-0.8252983895591764,0.033566133893817386,-0.009914311689159301,0.11663033994280289,0.0067793487970473545,-0.02399301684296159,-0.609953914176334,0.031003385612910443,-0.393209731714292,0.22007134895433078,0.023788738233799286,-0.3172803582115607,311.1988949775696,14.059688091278076
14,-0.847271226833914,0.034913296445716765,-0.0042195858533938075,0.10620171095409961,0.006724016564119189,-0.02563051009011046,-0.6198810962113467,0.029418865726752716,-0.3133975692432035,0.25241552564230835,0.02325290001251481,-0.22298311120407147,281.50256752967834,10.913301706314087
15,-0.8601641963262145,0.03310682420906062,-0.006878054565880622,0.10468772968503638,0.006191376304018929,-0.031048553971852237,-0.6875562925230373,0.039093475958163086,-0.30717969143932516,0.24065122550184076,0.02434812943366441,-0.227352266961878,261.04102873802185,11.171237707138062
16,-0.8798506781807013,0.042768851235926705,0.004724622840903891,0.08379860209718903,0.006306744794112143,-0.030777515530168453,-0.6779376810247247,0.0650671585039659,-0.27577146074988623,0.2375232448632067,0.023594532331282444,-0.19470237601887097,250.17860221862793,9.67539381980896
17,-0.8701012713016472,0.05493164274876363,0.007221680427613128,0.07027060041861243,0.005382057494635119,-0.03377792481158939,-0.6723596534945748,0.06731135465882042,-0.3326972814446146,0.23665297776460648,0.022304892709309406,-0.25257073884660547,206.2718644142151,8.708459615707397
