epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.5223507099876302,0.7471092836322072,-0.04804567534859493,0.240814488450779,0.015083239357222184,0.10992067045244937,-0.3585897982120514,0.4513497217134996,-0.16330881281332535,0.18762107058004898,0.014502927660942078,-0.04571935737674886,66.10666942596436,1.598602056503296
1,-0.4109921441065304,0.31901893827402705,-0.09699594720362503,0.2640930079968176,0.019434731388377532,0.04528796460444682,-0.3249556232582439,0.22310997274788943,-0.23668643603609366,0.1902293014255437,0.014768463390117342,-0.13698788088831035,40.78889322280884,1.5668652057647705
2,-0.42873277205312366,0.19559970929800907,-0.055397610811116264,0.26210023713446107,0.019539316032499632,0.07187851819549208,-0.3686368302865462,0.17039078744975003,-0.12424759981645779,0.20476562665267425,0.015814998949115925,-0.025874396786093712,34.76960277557373,1.5959069728851318
3,-0.4724571509199722,0.14205189578444044,-0.06454192163318256,0.22814129503600508,0.01568260946894221,0.032170807011425495,-0.4158953509547494,0.1313563273711638,-0.18584835969588973,0.18021348728375,0.014639013446867466,-0.10955649377270178,31.309448957443237,1.570662498474121
4,-0.514697155532227,0.1287476728174174,-0.06548622204534814,0.2656223983547398,0.018443470838192467,0.047173498563955876,-0.473200472579761,0.11958894675428217,-0.18762946670705621,0.18382389166138388,0.01508360110561956,-0.11599504270336845,30.21319818496704,1.5982604026794434
5,-0.5827224526171372,0.11996528868363282,-0.1085515751668783,0.2663695294862596,0.02064587766844257,-0.000996645592222704,-0.5298676312985745,0.11703368547287854,-0.29619278995828197,0.21602476794611325,0.021805462681434372,-0.20765833455053243,29.937026500701904,1.54947829246521
6,-0.626736771872389,0.10751230074702023,-0.10479847353526225,0.24309384523429603,0.020268858741168107,-0.014905140082412791,-0.5598823699084196,0.11102306978269057,-0.2502794614569707,0.21762493455951865,0.02097726452418349,-0.16537567431276495,30.312613487243652,1.7100889682769775
7,-0.641931478134313,0.09101722069154276,-0.12277872327749974,0.26388736904781557,0.021906214139520007,-0.024020254664192688,-0.5793019695715471,0.06398368525234135,-0.39337077872319653,0.24266945909370075,0.024626076306131752,-0.29894174567677756,29.052324771881104,1.6594128608703613
8,-0.6689360161076918,0.06769479386438833,-0.14528959704928587,0.25451159644349713,0.0219358954421967,-0.056222027951033315,-0.5713884884660895,0.05865879526192492,-0.2752057229253379,0.2158192450349981,0.024198951876976273,-0.19437008892947977,27.550431728363037,1.6818184852600098
9,-0.657414071749304,0.06320777902745198,-0.15584298117939277,0.2644856269601907,0.022381102753298306,-0.060639697919103584,-0.5630123588171873,0.05639097365466031,-0.353240292773328,0.2016184079376134,0.01854822945527055,-0.2845450091091069,25.35951805114746,1.9647948741912842
10,-0.6605373495127832,0.060666827606820614,-0.17247707468553264,0.25365993331804454,0.020814021283360285,-0.08482014165024891,-0.5963367440483787,0.056579224934632126,-0.34435953436927363,0.19741481948982587,0.017356450923464516,-0.282271419736472,25.14045739173889,1.7611708641052246
11,-0.6735613728377307,0.060700274394633616,-0.1553327057719509,0.26185497780826605,0.02042681910967994,-0.06526450563013275,-0.6012035581198606,0.054853347892111,-0.28732681630009954,0.19515581225807016,0.01595999419011853,-0.2284239364618605,24.903849363327026,1.6351838111877441
12,-0.6774832434151495,0.05700351209075094,-0.1222908811417417,0.23777887507159018,0.018932028020793034,-0.046517390087595055,-0.5927648679776625,0.05610194802284241,-0.2731164625676518,0.19367134029215033,0.016614984128285538,-0.2133320989087224,27.126739978790283,1.663832187652588
13,-0.6710439880735406,0.05727937448526097,-0.13934212910864396,0.2626110710830332,0.020334728449478607,-0.04907832956202676,-0.5982717140154405,0.05328162878074429,-0.3044188677925955,0.19829053634946997,0.016886740033938127,-0.24288587348366325,25.525859594345093,1.8616359233856201
