n_days,total_return,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,downside_dev,var_95,cvar_95,skew,kurtosis,omega,hit_ratio,alpha,beta,r2,info_ratio,bench_ann_return,bench_sharpe,bench_max_drawdown,excess_ann_return,turnover_mean,rebalances_per_year,turnover_ann,holdings_mean,total_return_gross,ann_return_gross,ann_vol_gross,sharpe_gross,sortino_gross,max_drawdown_gross,calmar_gross,downside_dev_gross,var_95_gross,cvar_95_gross,skew_gross,kurtosis_gross,omega_gross,hit_ratio_gross,cost_drag_ann,hhi_mean,top5_weight_mean,max_weight_mean,mkt_ann_return_mkt_up,mkt_hit_mkt_up,mkt_n_mkt_up,mkt_ann_return_mkt_down,mkt_hit_mkt_down,mkt_n_mkt_down,experiment,group,fold,index,test_start,test_end,n_rebalances,n_max,max_universe,max_investable,cost_bps,cost_total,eff_holdings_mean,seconds
487,0.06254949660490428,0.03189255255966206,0.17645079891737128,0.18074473312300934,0.17782918082557556,-0.24364388928404912,0.13089822467281553,0.12511112935953578,0.01686662286914429,0.025538730512497474,-0.1786988506778348,6.030394123806006,1.0475476928940015,0.5133470225872689,0.024732240395047032,0.7512929474496017,0.7784017655966157,0.1777537594705375,0.008177342554688272,0.03946353342530782,-0.32461968881054737,0.023715210004973786,0.5429158714736378,12.41889117043121,6.742413122530927,20.208333333333332,0.10485326453288879,0.052950927432754646,0.17657239600552707,0.2998822501740146,0.29475291282331356,-0.2367613986303816,0.223646792674251,0.12479147445514341,0.01686662286914429,0.025538730512497474,-0.19274490578030626,6.019846319934437,1.0684869606377165,0.5174537987679672,0.02105837487309259,0.06869721549315759,0.4546073546226606,0.09956743054950834,5.417472482723209,0.8464730290456431,241.0,-0.8277982125472599,0.18699186991869918,246.0,ent000_gru,entropy_sweep,f1_2018_2019,csi300,2018-01-02,2019-12-02,24,155,120,155,15.0,0.039089942746101926,14.660360537557311,172.03519296646118
486,0.29542790567263433,0.14363740377332257,0.2579699119863487,0.5567990571742475,0.55841615972612,-0.19792257877137154,0.7257252035870249,0.17771964084362726,0.022107236049814454,0.03539224623405171,0.06943372813737007,9.439444411015128,1.11859378138343,0.522633744855967,0.05313275416359372,1.0449758696858937,0.7077130502132891,0.4153153101054174,0.09170040551591607,0.44154997104554616,-0.1818968999378775,0.0519369982574065,0.7173865593537799,12.444444444444445,8.92747718306926,28.25,0.3639983735321919,0.17463646567792002,0.2580626961103102,0.6767210771264313,0.6803826387285271,-0.19792257877137176,0.8823473641157916,0.17695774099852402,0.021756786216104492,0.03535194948995426,0.06506459089929033,9.436825013050964,1.1390054975380302,0.5246913580246914,0.030999061904597447,0.05351150858928987,0.3802001277777614,0.0925184082863094,10.72556020471441,0.8212927756653993,263.0,-0.9265273731485401,0.17040358744394618,223.0,ent000_gru,entropy_sweep,f2_2020_2021,csi300,2020-01-02,2021-12-01,24,155,120,155,15.0,0.051651832273472156,18.996423517489436,177.21795320510864
1108,-0.2717899401644047,-0.06959487157460753,0.16516244035747907,-0.4213722649288529,-0.4071672171510285,-0.4475395543575471,-0.15550552101369566,0.1208619052647313,0.017140173511627475,0.024430206747028036,-0.16921674500667336,7.446454098660445,0.9395722976564482,0.5,-0.05735924739678907,0.7724152393343202,0.7263265800642252,-0.5950584444057895,-0.017857859494066486,-0.09799478744727774,-0.35103348516332844,-0.051737012080541045,0.613357857304289,12.509025270758121,7.6725089370374056,29.963636363636365,-0.19392889825768733,-0.04784894590338784,0.16469136230207523,-0.2905370702783051,-0.2815453872625475,-0.41779306923142023,-0.11452785942909881,0.11973894380396516,0.017054474543308627,0.024290637826262913,-0.1550186963290438,7.3347855737055845,0.9627714521031647,0.5036101083032491,0.02174592567121969,0.045784578607809205,0.3182559474906944,0.07510405059276862,3.8082285292970566,0.8207024029574861,541.0,-0.8058808734513803,0.19400352733686066,567.0,ent000_gru,entropy_sweep,f3_2022_2026,csi300,2022-01-04,2026-07-01,55,165,120,165,15.0,0.10120404645520768,22.086423316765753,213.19865012168884
487,0.3287797119818294,0.15846046713543882,0.26519459630196046,0.5975252487988474,0.6200935685053384,-0.2871533733356525,0.5518321630518161,0.17864369907456143,0.024293230749527814,0.03478694921540611,0.044290293843521435,4.336896747199886,1.121150364881497,0.5112936344969199,0.15145398695315654,1.0395434999976738,0.6597637345432621,0.9852772140370195,0.008177342554688272,0.03946353342530782,-0.32461968881054737,0.15028312458075055,0.5151793841758876,12.41889117043121,6.397956705330119,11.916666666666666,0.3790226706590687,0.18092347053706104,0.26511051098819427,0.6824454823110269,0.7103278518305635,-0.27280485581094793,0.6631973980054074,0.17805741506404418,0.024293230749527814,0.03478694921540611,0.039143054621288316,4.3431774339709275,1.134981907563195,0.5112936344969199,0.022463003401622217,0.09033668624532293,0.49723260131266017,0.10002401922743508,15.059783226957634,0.8257261410788381,241.0,-0.9118481842669222,0.2032520325203252,246.0,ent000_lstm,entropy_sweep,f1_2018_2019,csi300,2018-01-02,2019-12-02,24,155,120,155,15.0,0.03709291566066391,11.098464007654059,138.86907744407654
486,0.6862297035966578,0.31117460573353894,0.313429129600246,0.9928069102269387,0.9546877174887082,-0.355092015124323,0.8763210449116748,0.2217767103303886,0.03322444170772103,0.04525136810721436,-0.41890728733512755,3.843958234035671,1.1805919084784946,0.5370370370370371,0.19980734259134242,1.1016981157976788,0.5328798411948432,0.9799168063749881,0.09170040551591607,0.44154997104554616,-0.1818968999378775,0.21947420021762287,0.5806266788074326,12.444444444444445,7.225576447381383,12.416666666666666,0.7581487392510584,0.339879904742179,0.31344274417097,1.0843444650190677,1.0421425385923717,-0.3451879021447618,0.9846228753394817,0.22091879275557977,0.03311770259833803,0.04525136810721436,-0.41204387494098565,3.8737333184717855,1.1942584407093564,0.5411522633744856,0.02870529900864005,0.08909338283978248,0.49516090901904986,0.10000884835507891,16.964094847924592,0.7642585551330798,263.0,-0.9401567315810434,0.26905829596412556,223.0,ent000_lstm,entropy_sweep,f2_2020_2021,csi300,2020-01-02,2021-12-01,24,155,120,155,15.0,0.04180512087413514,11.298052924833911,170.37594509124756
1108,-0.41774340210724925,-0.11574327881634261,0.2195902628880113,-0.5270874823596821,-0.5536457357360973,-0.5978874985563801,-0.1935870529084631,0.15125437255935822,0.019672529461105617,0.030035816004578702,0.5771205169472905,8.989095909510208,0.9221886086270926,0.47653429602888087,-0.09765043423197091,0.928118010922158,0.593243647761546,-0.6934913676485799,-0.017857859494066486,-0.09799478744727774,-0.35103348516332844,-0.09788541932227612,0.6359048990697194,12.509025270758121,7.954550452262012,10.836363636363636,-0.35305903688816986,-0.09430148216137535,0.21920974279812006,-0.43018837099873686,-0.45349347730297956,-0.5690492823681423,-0.1657176014157025,0.15019017137254573,0.019672529461105617,0.02990380219890412,0.575980151254344,9.014240583752942,0.940261994559973,0.47833935018050544,0.02144179665496726,0.0965703053974856,0.5092658629694109,0.10654317981312894,5.223785004081961,0.767097966728281,541.0,-0.8626073499678237,0.19929453262786595,567.0,ent000_lstm,entropy_sweep,f3_2022_2026,csi300,2022-01-04,2026-07-01,55,165,120,165,15.0,0.10492430834650371,10.365392289276173,191.74624133110046
487,-0.07788362101368318,-0.04108912182376212,0.2563023897345977,-0.1603150164394101,-0.16597614028345317,-0.34486968508935545,-0.11914390739538606,0.17913762333453304,0.024642707043908696,0.035760156818494336,-0.002596131429986647,5.388900926188417,0.9939209703473011,0.47638603696098564,-0.0400119080617525,1.0432780167372324,0.7114219292297812,-0.28071384366442337,0.008177342554688272,0.03946353342530782,-0.32461968881054737,-0.04926646437845039,0.7427699874795016,12.41889117043121,9.224379639170484,11.625,-0.027372809838565493,-0.014258996455814077,0.2566363325599714,-0.05556109812503652,-0.05760901219711872,-0.3281509917649452,-0.04345254719214076,0.17839977917346111,0.024642707043908696,0.03567437891730601,0.000981536777372384,5.391716086337448,1.0123944070613295,0.4804928131416838,0.026830125367948043,0.0970159555310135,0.5281749083732848,0.12816125831856529,10.680970398766117,0.8049792531120332,241.0,-0.91717820200981,0.15447154471544716,246.0,ent000_rnn,entropy_sweep,f1_2018_2019,csi300,2018-01-02,2019-12-02,24,155,120,155,15.0,0.053479439098524116,10.337737412559507,157.4040846824646
486,0.27785761830454825,0.13556796088383383,0.2629093259893306,0.5156453099321987,0.505847571354488,-0.2546483424040047,0.5323732312726095,0.1867563001044459,0.024976968024089802,0.03727063128810601,-0.4258529282140259,5.020954373452403,1.108023515899688,0.51440329218107,0.053751536727259366,0.9878480737433967,0.6089072180371446,0.31879984611417045,0.09170040551591607,0.44154997104554616,-0.1818968999378775,0.043867555367917754,0.7349138577363385,12.444444444444445,9.145594674052214,17.0,0.3471524436142972,0.16709169318398387,0.2630701031960525,0.6351603285739357,0.6247546542019061,-0.25170562884770775,0.663837729608666,0.1859778215143698,0.024862602321567482,0.037223899935459846,-0.4276704056371715,5.035454314179745,1.1276347591369253,0.5164609053497943,0.03152373230015004,0.07778995747692906,0.48768585561016903,0.10064612186549256,8.571677347766494,0.752851711026616,263.0,-0.9080863676437078,0.23318385650224216,223.0,ent000_rnn,entropy_sweep,f2_2020_2021,csi300,2020-01-02,2021-12-01,24,155,120,155,15.0,0.05291379775701638,12.916265520983318,146.2345371246338
1108,0.004813089222510447,0.001092644264826248,0.23908795281569226,0.004570051531072098,0.004937853374238752,-0.3688083709893475,0.0029626341232309164,0.15995948692240722,0.02121583540271354,0.030547719989385373,0.3516476523096188,5.73209160630078,1.0213036041831096,0.47743682310469315,0.03107640660185355,1.0508601178361405,0.6415452384424664,0.2161329174627024,-0.017857859494066486,-0.09799478744727774,-0.35103348516332844,0.018950503758892734,0.6304246546434679,12.509025270758121,7.885997936244101,16.672727272727272,0.11587203431079085,0.025248792353705918,0.23832496219531593,0.10594270999197146,0.11480521641338198,-0.33245130582822346,0.07594733998954989,0.15843204619175594,0.0209367120903786,0.030246447815468074,0.3610291541220675,5.736829565623112,1.038814400670211,0.48104693140794225,0.02415614808887967,0.07819132708023456,0.4885093749088634,0.10257722771023646,8.777272858160023,0.7726432532347505,541.0,-0.8862069161592672,0.19576719576719576,567.0,ent000_rnn,entropy_sweep,f3_2022_2026,csi300,2022-01-04,2026-07-01,55,165,120,165,15.0,0.10402006801617215,12.867751172338092,380.45349168777466
487,0.19643639850985273,0.09724668676284542,0.21727155023504946,0.4475813177456583,0.4678916960707775,-0.2688800282076287,0.3616731499587307,0.14771770409158302,0.02011044765460685,0.029753741757504604,0.10387273985239814,5.488205334824953,1.0970509000887663,0.4948665297741273,0.08733511876932791,0.9810492087809654,0.8754035509635003,1.1299734065819718,0.008177342554688272,0.03946353342530782,-0.32461968881054737,0.08906934420815715,0.43411197912911287,12.41889117043121,5.391189424584958,35.0,0.23434752003497872,0.11510215533202084,0.21739312488323584,0.5294654805382802,0.5554130795472466,-0.2603439744246807,0.442115687856339,0.14728903817263667,0.02011044765460685,0.02969543215326718,0.10249687379891066,5.482519590444902,1.1111680594345485,0.4948665297741273,0.017855468569175414,0.06962103366450849,0.4790170183476496,0.10000014729011204,10.728505924295852,0.8796680497925311,241.0,-0.8922842407242657,0.11788617886178862,246.0,ent010_gru,entropy_sweep,f1_2018_2019,csi300,2018-01-02,2019-12-02,24,155,120,155,15.0,0.031256062497296136,14.564679621076744,341.9660449028015
