experiment,fold,date,selection,n_valid,n_max,score_std,score_spread,spar_thresh,pi_support,pi_pr,cap_budget,deficit,cap_sum,cap_at_max,book_n,book_pr
lstm_sparsemax,f2_2020_2021,2020-01-02,sparsemax,116,155,0.003689601147746103,0.014274584079273688,0.008620689655172414,109,103.03998145717246,9.822044372558594,0.0,9.822042697574943,52,67.0,25.9033501427427
lstm_sparsemax,f2_2020_2021,2020-02-03,sparsemax,118,155,0.0016572768345558216,0.006735008515780634,0.00847457627118644,118,113.65352993115317,10.800617218017578,0.0,10.800615230575204,61,101.0,34.35745437448258
lstm_sparsemax,f2_2020_2021,2020-03-02,sparsemax,118,155,0.003558116147074413,0.013558563950937241,0.00847457627118644,111,103.92244809732789,9.826321601867676,0.0,9.826319499406964,57,63.0,31.986430755841553
lstm_sparsemax,f2_2020_2021,2020-04-01,sparsemax,120,155,0.003367302747937884,0.012620531350451832,0.008333333333333333,113,106.77744916899155,10.142520904541016,0.0,10.142521348781884,51,86.0,36.68934768628485
lstm_sparsemax,f2_2020_2021,2020-05-06,sparsemax,120,155,0.003918648804007793,0.01461566257130471,0.008333333333333333,112,104.30501988626007,9.931283950805664,0.0,9.931283892830834,53,61.0,26.403383427023556
lstm_sparsemax,f2_2020_2021,2020-06-01,sparsemax,120,155,0.003494811939437547,0.015875054260444207,0.008333333333333333,114,109.13051683023909,10.341784477233887,0.0,10.341783974319696,58,60.0,29.393560421245574
lstm_sparsemax,f2_2020_2021,2020-07-01,sparsemax,119,155,0.002703758449947637,0.012710285011068488,0.008403361344537815,114,110.90098971606734,10.594396591186523,0.0,10.594396585598588,46,63.0,27.460036869185252
lstm_sparsemax,f2_2020_2021,2020-08-03,sparsemax,118,155,0.0030626123091596776,0.01141861096119224,0.00847457627118644,112,106.62711828040823,10.17821216583252,0.0,10.17821072647348,60,71.0,33.04719908062479
lstm_sparsemax,f2_2020_2021,2020-09-01,sparsemax,119,155,0.003249581469233591,0.012650542714468697,0.008403361344537815,114,106.48215162954125,10.08973217010498,0.0,10.089729170198552,51,64.0,36.1557056056841
lstm_sparsemax,f2_2020_2021,2020-10-09,sparsemax,119,155,0.003642341308397516,0.012767287812043107,0.008403361344537815,111,103.861204583511,9.806654930114746,0.0,9.806652126833797,49,69.0,28.773206105128647
lstm_sparsemax,f2_2020_2021,2020-11-02,sparsemax,119,155,0.004327552428893358,0.01595064326793057,0.008403361344537815,105,102.3987480923706,9.845428466796875,0.0,9.845425970852375,46,68.0,29.380808407355502
lstm_sparsemax,f2_2020_2021,2020-12-01,sparsemax,119,155,0.0030862675095453197,0.014295220792297461,0.008403361344537815,113,107.17586052220439,10.228738784790039,0.0,10.228738430538215,52,76.0,35.12461890797166
lstm_sparsemax,f2_2020_2021,2021-01-04,sparsemax,117,155,0.0032374830715410376,0.014070221257762203,0.008547008547008548,111,106.50486064162963,10.18956470489502,0.0,10.189564537256956,53,71.0,28.592397747951875
lstm_sparsemax,f2_2020_2021,2021-02-01,sparsemax,119,155,0.0026938142621712436,0.013677085016094962,0.008403361344537815,116,109.51475752804342,10.462798118591309,0.0,10.462797418236732,60,85.0,33.90757636975945
lstm_sparsemax,f2_2020_2021,2021-03-01,sparsemax,119,155,0.0034701743193488468,0.014472742329699872,0.008403361344537815,112,106.71502591073153,10.197851181030273,0.0,10.19785034051165,57,83.0,33.38723599110979
lstm_sparsemax,f2_2020_2021,2021-04-01,sparsemax,119,155,0.004213577036955249,0.013081996296160706,0.008403361344537815,107,100.66070375296056,9.617687225341797,0.0,9.61768559392658,50,81.0,36.35629670788019
lstm_sparsemax,f2_2020_2021,2021-05-06,sparsemax,119,155,0.0039361282031967265,0.013910976886170125,0.008403361344537815,109,104.77092043115086,10.046636581420898,0.0,10.046634496422485,49,70.0,28.801600658812383
lstm_sparsemax,f2_2020_2021,2021-06-01,sparsemax,119,155,0.003712855233520416,0.01576848979599132,0.008403361344537815,111,106.27704608496941,10.168038368225098,0.0,10.168035507202148,51,65.0,32.572504953772004
lstm_sparsemax,f2_2020_2021,2021-07-01,sparsemax,118,155,0.0030389723751654413,0.014138190870930961,0.00847457627118644,113,108.34961659546791,10.39027214050293,0.0,10.39026989042759,57,69.0,25.884608499670996
lstm_sparsemax,f2_2020_2021,2021-08-02,sparsemax,119,155,0.0024281368333449968,0.014753581214492686,0.008403361344537815,116,112.11717019579837,10.691471099853516,0.0,10.69146978482604,58,85.0,36.96279133366267
lstm_sparsemax,f2_2020_2021,2021-09-01,sparsemax,119,155,0.00248208530807182,0.012364121923857063,0.008403361344537815,116,111.33149732233782,10.519586563110352,0.0,10.519584776833653,58,84.0,37.57409843620081
lstm_sparsemax,f2_2020_2021,2021-10-08,sparsemax,119,155,0.00333730129765578,0.013018671495100373,0.008403361344537815,115,105.76512542289933,10.043655395507812,0.0,10.043652700769599,59,80.0,36.983530590442385
lstm_sparsemax,f2_2020_2021,2021-11-01,sparsemax,119,155,0.0033248292075871337,0.014309370366390795,0.008403361344537815,114,106.99017662798413,10.202070236206055,0.0,10.202068998478353,56,73.0,33.03903711943308
lstm_sparsemax,f2_2020_2021,2021-12-01,sparsemax,119,155,0.002760589598620367,0.011097617803959316,0.008403361344537815,115,108.82068812818592,10.309203147888184,0.0,10.309199992683716,56,70.0,35.21142275275682
