date,turnover,traded_notional,cost,n_holdings,eff_holdings,hhi,top5_weight,max_weight
2020-01-02,0.5,1.0,0.0015,45.0,44.999999485888736,0.022222222476104322,0.11112300165640054,0.022225969461702112
2020-02-03,0.019593556990376522,0.039187113980753044,5.8780670971129565e-05,49.0,46.469681344103705,0.02151940730118402,0.12071783729189962,0.027188236641581886
2020-03-02,0.004684939436547174,0.009369878873094348,1.4054818309641522e-05,49.0,46.72582249495501,0.021401442427428002,0.12707956827340622,0.028340283398799297
2020-04-01,0.0014076786475250517,0.0028153572950501034,4.223035942575155e-06,49.0,46.69471682097325,0.021415698992971362,0.12661511811529236,0.027294624268441064
2020-05-06,0.0013314541324800184,0.002662908264960037,3.994362397440056e-06,49.0,46.59543627575742,0.02146132926155856,0.13678925278474577,0.027851312911023125
2020-06-01,0.0014802652793450047,0.0029605305586900095,4.440795838035014e-06,49.0,46.62986425850522,0.021445483831053644,0.1388086748234691,0.029772716604934843
2020-07-01,0.019207463302944705,0.03841492660588941,5.762238990883411e-05,48.0,45.3426942493984,0.022054269525752054,0.1584034606066186,0.042799416412388394
2020-08-03,0.03703901867267887,0.07407803734535774,0.00011111705601803662,53.0,47.90033652738594,0.0208766800506354,0.15819014009662002,0.03309707576089032
2020-09-01,0.0030251053287517096,0.006050210657503419,9.075315986255128e-06,53.0,48.11334659703793,0.020784253657831493,0.1497746682882231,0.032859356793399144
2020-10-09,0.0015592121128907986,0.0031184242257815973,4.677636338672396e-06,53.0,47.97551663444501,0.020843965217083864,0.1483965698032061,0.03195564019208885
2020-11-02,0.001266125100853532,0.002532250201707064,3.798375302560596e-06,53.0,48.02307583228956,0.020823322593752403,0.1497828959708703,0.03107012413413414
2020-12-01,0.002004536857774969,0.004009073715549938,6.013610573324907e-06,53.0,48.03190395900905,0.020819495326552338,0.14849654871647647,0.03511426148690506
2021-01-04,0.011187368432887965,0.02237473686577593,3.3562105298663894e-05,53.0,46.18203281095782,0.02165344267311519,0.17381102764445605,0.03684119884068255
2021-02-01,0.037740072935925,0.07548014587185,0.00011322021880777499,58.0,48.9364215597642,0.020434677651669682,0.16366677108005345,0.03273600045960447
2021-03-01,0.0041107947039086875,0.008221589407817375,1.2332384111726063e-05,58.0,49.23705242917787,0.020309907897886274,0.16279992931009554,0.033830542282024874
2021-04-01,0.00269761658937282,0.00539523317874564,8.092849768118461e-06,58.0,50.10993737605565,0.019956121527260905,0.15736868628371742,0.034329233911034616
2021-05-06,0.002168252861387789,0.004336505722775578,6.504758584163368e-06,58.0,50.06020601175742,0.019975946558532628,0.15702583873858328,0.03311106807247507
2021-06-01,0.0015983599902705818,0.0031967199805411637,4.795079970811746e-06,58.0,49.24172764799926,0.02030797958894586,0.1655866853396633,0.035114393548278756
2021-07-01,0.014152852779549127,0.028305705559098254,4.245855833864738e-05,60.0,50.9360764188448,0.019632450520472956,0.15669344484054926,0.03154331036100238
2021-08-02,0.02116153405240773,0.04232306810481546,6.348460215722319e-05,63.0,53.21409720080271,0.018792012880092895,0.15287615616385827,0.03076547199891922
2021-09-01,0.001791985646554993,0.003583971293109986,5.375956939664979e-06,63.0,54.04811163056743,0.018502034018047737,0.13886729727383113,0.02984380717265876
2021-10-08,0.0014667521737716399,0.0029335043475432797,4.400256521314919e-06,63.0,53.966575042961885,0.018529988223338553,0.13944799567455132,0.028785662464628676
2021-11-01,0.0031551174653304506,0.006310234930660901,9.465352395991352e-06,63.0,54.081528911270354,0.01849060150722929,0.14366620862846852,0.033826531740426956
2021-12-01,0.0017820926114899853,0.0035641852229799705,5.346277834469956e-06,63.0,54.65877832074873,0.018295322923827507,0.14327174708036394,0.03025830071892868
