date,turnover,traded_notional,cost,n_holdings,eff_holdings,hhi,top5_weight,max_weight
2020-01-02,0.5,1.0,0.0015,101.0,100.99991398537068,0.009900998530997213,0.04960815138807872,0.00992702005477428
2020-02-03,0.07843887040584305,0.1568777408116861,0.00023531661121752915,125.0,107.10550861125421,0.009336587939930892,0.0574261071208171,0.012220049047479043
2020-03-02,0.25028044649488657,0.5005608929897731,0.0007508413394846597,113.0,105.40162013796842,0.009487520198370972,0.07449579638842471,0.016966306481831974
2020-04-01,0.18869314210945937,0.37738628421891873,0.0005660794263283781,112.0,106.11703006781981,0.009423558116552037,0.06934952480613868,0.014701228262063142
2020-05-06,0.18991470005186017,0.37982940010372035,0.0005697441001555805,115.0,106.45752022958521,0.009393418124369328,0.07416421890808114,0.016267440894472535
2020-06-01,0.1366660998931695,0.273332199786339,0.0004099982996795085,115.0,107.17303166363459,0.00933070553736435,0.07660383662995805,0.016911257028753485
2020-07-01,0.15635241279058656,0.31270482558117313,0.0004690572383717597,117.0,107.84551899901678,0.009272522486623826,0.07641761130804665,0.01621979992774362
2020-08-03,0.16738315528710712,0.33476631057421424,0.0005021494658613213,136.0,114.33315725761244,0.00874636915472234,0.08011258959716219,0.017420332146226767
2020-09-01,0.16229281638116147,0.32458563276232294,0.00048687844914348444,138.0,117.67477553550208,0.008497997939229578,0.07473822060353305,0.01590414064833973
2020-10-09,0.17695771379428643,0.35391542758857286,0.0005308731413828593,136.0,117.8969942764254,0.008481980445195788,0.07687814999371767,0.01673937402665615
2020-11-02,0.16370658266651783,0.32741316533303566,0.0004911197479995535,137.0,116.15186986722674,0.008609418007158219,0.08608388982391256,0.023185353477011672
2020-12-01,0.18662390864778594,0.3732478172955719,0.0005598717259433578,137.0,117.29886686048597,0.00852523154541117,0.08688505608356677,0.024440536112472322
2021-01-04,0.16373341245978607,0.32746682491957213,0.0004912002373793582,133.0,116.59293230408223,0.008576849215799227,0.08751008397501836,0.02635523876830161
2021-02-01,0.16169390943513728,0.32338781887027457,0.00048508172830541186,148.0,123.94359133888324,0.008068186416075575,0.08484539777670132,0.01811351890335184
2021-03-01,0.09974715179723208,0.19949430359446416,0.00029924145539169625,147.0,124.80499396290219,0.008012499886801375,0.08074162456457061,0.01669290741455825
2021-04-01,0.15616869425312224,0.3123373885062445,0.00046850608275936673,146.0,126.20129811556956,0.007923848763300712,0.0761047332115182,0.016563928763636993
2021-05-06,0.1633489853265811,0.3266979706531622,0.0004900469559797433,148.0,124.53452858413257,0.008029901517027253,0.0810053773722521,0.0188226315244318
2021-06-01,0.11708016631552942,0.23416033263105884,0.00035124049894658826,148.0,123.02771250062396,0.008128249966404346,0.08695200877771853,0.0201781745780504
2021-07-01,0.1890066035950067,0.3780132071900134,0.0005670198107850202,142.0,117.379919477621,0.00851934474355006,0.09791091882304725,0.022115217851329114
2021-08-02,0.13173868166497307,0.26347736332994615,0.00039521604499491924,156.0,125.4642556415888,0.007970397583648682,0.08176554110684686,0.01995141083679467
2021-09-01,0.11158399805412622,0.22316799610825244,0.00033475199416237866,155.0,125.29172819628697,0.007981372867914796,0.08545601630788098,0.019231165497874285
2021-10-08,0.12807920251854749,0.25615840503709497,0.00038423760755564246,156.0,128.44995127198675,0.007785133354255206,0.08132035019881836,0.020091178872385863
2021-11-01,0.10119063920596152,0.20238127841192305,0.0003035719176178846,158.0,124.88292956062573,0.008007499531907918,0.08659848280376943,0.019952645653701098
2021-12-01,0.11643800284443884,0.23287600568887767,0.0003493140085333165,158.0,126.25227395484198,0.007920649416244818,0.08290768225131975,0.019824213758676545
