n_days,total_return,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,downside_dev,var_95,cvar_95,skew,kurtosis,omega,hit_ratio,alpha,beta,r2,info_ratio,bench_ann_return,bench_sharpe,bench_max_drawdown,excess_ann_return,turnover_mean,rebalances_per_year,turnover_ann,holdings_mean,eff_holdings_mean,hhi_mean,top5_weight_mean,max_weight_mean,ann_return_gross,ann_vol_gross,sharpe_gross,max_drawdown_gross,cvar_95_gross,total_return_gross,cost_drag_ann,experiment,group,n_folds,bench_ann_vol
2081,1.3793937486629355,0.11067865234662455,0.18325593750557617,0.6039567058680256,0.6137394208119041,-0.2718932439277786,0.4070665778515022,0.1253218605991164,0.01709128201210989,0.02610748199586027,0.15820810701298588,10.543867484409395,1.1262178120411095,0.5170591061989428,0.10122601535222145,0.647679132378089,0.4718078685388117,0.6013583894931189,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.09779443917664077,0.25358806461099764,12.472849591542527,3.162965788103342,25.0873786407767,14.492509742275244,0.07748535794089169,0.46247218128136164,0.09775297765302299,0.1212533658952093,0.18330800455701718,0.6614733829449,-0.26266428294232913,0.02606051638182184,1.5730634298055648,0.010574713548584747,mu016_mlp,e2e,3,0.19434829714965896
2081,1.4824038367598362,0.11639356625858444,0.21050928435416852,0.5529141701073842,0.5399232407138203,-0.40452430518971505,0.2877294757455867,0.14846342980137336,0.019889465580198,0.031606614125616043,-0.36081758124251884,6.65497827395581,1.1186637966879571,0.525708793849111,0.10903389604119217,0.7353176178251043,0.4608598912351523,0.6178053604621941,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.10350935308860065,0.30882364268356854,12.472849591542527,3.851910845504423,18.038834951456312,12.135925399335369,0.08367167018869956,0.49467695705710707,0.10000455888608166,0.12934235853239184,0.21060423205249565,0.6141489051376313,-0.3905736734184022,0.03156427961312269,1.7304271673899887,0.012948792273807408,mu028_mlp,e2e,3,0.19434829714965896
2081,0.5725613367443911,0.05635117535015599,0.18526150983353643,0.30417098187739794,0.3098386444176561,-0.467550859660656,0.12052416156619868,0.1285724810347965,0.01824756785658389,0.02688295781896921,-0.07865893241926017,7.2819598176935445,1.0711048332148516,0.5002402691013935,0.048095435345469166,0.7538112791664244,0.6253401942074877,0.3273582432731107,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.04346696218017221,0.358172275829264,12.472849591542527,4.4674289242788925,17.95145631067961,13.027644070377644,0.07921527537528511,0.46787042765104625,0.09685369526577872,0.07058664882017651,0.18533878522595248,0.3808520096542235,-0.45407941765481374,0.026810803982188165,0.7563664550532503,0.014235473470020521,mu020_mlp,e2e,3,0.19434829714965896
2081,0.2942502675730232,0.03172729886877601,0.22332577873910475,0.1420673378949266,0.14205177659512802,-0.48504365987723097,0.06541122272746845,0.15819787269408353,0.022314856116302795,0.0325638231074753,-0.22891299169802018,6.091515849042166,1.0442813646943723,0.4983181162902451,0.02111439002794863,1.1074652114586556,0.9288465040479774,0.38844680780871393,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.018843085698792228,0.10671354628726851,12.472849591542527,1.3310220122212115,123.3883495145631,109.13211499113292,0.009193788905993863,0.08124528550724454,0.018166719365143923,0.035859618247888525,0.22330658869711742,0.16058468519496677,-0.4782727641684539,0.032549734587852534,0.33768508584027646,0.004132319379112515,mu028_rbfn,e2e,3,0.19434829714965896
2081,0.2917282732738553,0.031483634845545616,0.22281731353809994,0.14129797341875847,0.14116400390458048,-0.4851841237348786,0.06489007637593139,0.15781879319630895,0.022314856116302788,0.03248506912377235,-0.22830350904585758,6.111798584475887,1.0441160638269285,0.49927919269581933,0.020805469496813486,1.1061656279402237,0.9309019305180959,0.3892362825216978,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.018599421675561834,0.10501572643323703,12.472849591542527,1.3098453605483422,123.3883495145631,108.30361240386017,0.009264475286463732,0.08148317065395119,0.018016929283105568,0.03554902881124122,0.22279879593429594,0.15955664689375046,-0.47852870548452553,0.032471165230012373,0.3343765283530915,0.004065393965695607,mu020_rbfn,e2e,3,0.19434829714965896
2081,0.29037682560730516,0.031352891790157544,0.22287972130373088,0.14067180094608597,0.1405518104700178,-0.48587625214544394,0.0645285536218639,0.15784796189816758,0.022314856116302788,0.032496811135225054,-0.22700777959709129,6.115958151714299,1.0440185886815139,0.49927919269581933,0.02067622918928118,1.106674792288966,0.9312373857391264,0.3879510242418092,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.018468678620173762,0.1044716486572567,12.472849591542527,1.3030591602824386,123.3883495145631,107.96470603503396,0.00929454929547617,0.08165830029157013,0.017947844182941357,0.035396649628415044,0.22286140753488892,0.15882808073386911,-0.47928240595263105,0.032483014307613634,0.33275593890895094,0.0040437578382575,mu016_rbfn,e2e,3,0.19434829714965896
2081,0.2885600461372926,0.031176941384435386,0.2228228722367585,0.13991804823029388,0.13979633195816968,-0.4856581274400602,0.06419524274981527,0.15781037415120958,0.022314856116302788,0.03248143855067844,-0.22673051560258956,6.115775168897907,1.0438819806553303,0.49927919269581933,0.02051032624818946,1.1061229275559437,0.9307836205268185,0.38417772452111465,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.018292728214451603,0.1049375588792892,12.472849591542527,1.3088703884050121,123.3883495145631,108.21847765325991,0.009269829013084244,0.0816824000989015,0.01804046777085922,0.035238069111752646,0.22280450755766684,0.15815689501987404,-0.47902048305247236,0.032467572282400124,0.33107123391240467,0.00406112772731726,mu022_rbfn,e2e,3,0.19434829714965896
2081,0.28859314552396254,0.0311801489241057,0.22297068562942288,0.1398396781894777,0.1397231351771854,-0.4862781792859222,0.06411998368895012,0.15790929061685371,0.022314856116302788,0.032500054096638385,-0.22606321445601596,6.113014203639448,1.0438766459622335,0.49927919269581933,0.02052465871918847,1.1068067288726062,0.9306995897976823,0.3840498866103852,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.018295935754121917,0.1049608838944483,12.472849591542527,1.3091613178108121,123.3883495145631,108.25611214938006,0.009266849555190687,0.08166298217962371,0.018039357636183403,0.03524222252318365,0.22295220817222183,0.1580707489380882,-0.4796469243905933,0.03248618370858687,0.33111533444965513,0.004062073599077953,mu026_rbfn,e2e,3,0.19434829714965896
2081,0.22094041507788598,0.02446782011315607,0.2317621289795628,0.1055729864964853,0.10633918724302724,-0.536658836775779,0.045592876584605556,0.16320717329989698,0.023153323261596196,0.033237284649303804,-0.128725696733078,5.9165105101337865,1.0384813624170606,0.4968765016818837,0.015184050726014567,1.1317244135134654,0.9006538406836376,0.25011107158084755,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.011583606943172287,0.12257647297496689,12.472849591542527,1.5288779108785393,121.85436893203884,101.64451546977152,0.010391259889731119,0.09865968251277207,0.022331709889945837,0.029185277407254517,0.23172960105137003,0.12594540047900354,-0.529628022452326,0.03321276769742892,0.26815128525666254,0.004717457294098448,mu018_rbfn,e2e,3,0.19434829714965896
2081,0.19863239124990106,0.022182712359164913,0.24267324860598108,0.0914097968630325,0.09170045074020462,-0.6167487006579697,0.0359671813422543,0.17002144176398962,0.024186358347575893,0.034936045259833556,0.017540829426982246,5.943795138623783,1.0374455749435956,0.506006727534839,0.01887886159561484,1.025190295766192,0.6741035973809043,0.14195022787087216,0.012884213169983783,0.06629444846672479,-0.4560262048486341,0.00929849918918113,0.22596190595094326,12.472849591542527,2.8183888663443937,67.74757281553399,27.731660963521758,0.0477438267155713,0.34325114477305996,0.08923606683994703,0.030884443737186684,0.24258492162033005,0.12731394651776407,-0.6043363544681357,0.03487000566073532,0.2855448305563737,0.008701731378021771,mu026_mlp,e2e,3,0.19434829714965896
