epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.5143464962455714,0.8186690996740466,-0.054412084518470495,0.2997865915716251,0.018589005618417098,0.1445024782252089,-0.39906018430536444,0.44397079944610596,-0.17054335231130774,0.22820751504464584,0.016359822401268917,-0.03558869456703013,91.79867625236511,1.889237642288208
1,-0.470048784304445,0.2753811046898922,-0.08168133428738078,0.25150353217793403,0.014049857722107912,0.03865352198133402,-0.40399160981178284,0.19856763969768176,-0.15282248028300024,0.19145108623938126,0.01133345647461035,-0.0663058717142452,56.59755349159241,1.8272287845611572
2,-0.47254909077119606,0.15594720074506563,-0.08280934228901272,0.2431159598456922,0.01300236231116491,0.020090812660544834,-0.43938944014635956,0.13495160029693085,-0.14891681430692022,0.18962590328671716,0.011512462303719738,-0.07303517785939304,38.504762411117554,1.795337200164795
3,-0.52602218620688,0.1252382244462165,-0.07932856479207072,0.24290757159763407,0.012862677942682928,0.01490950399017501,-0.46088918908075854,0.11592295224016363,-0.16599637405438858,0.190719027410854,0.010632583024826918,-0.09450089931488037,36.21574139595032,1.8887879848480225
4,-0.5668013422776048,0.10519399250222143,-0.08827792608971212,0.24383850883100636,0.012630568895593424,0.00011115838886699944,-0.5105684853412888,0.10511654412204569,-0.15023074773224918,0.18616975911638953,0.011027013163336298,-0.08666404268958351,32.78283143043518,1.8834285736083984
5,-0.6228892572363404,0.10950289607465824,-0.09222256914477482,0.23518043484921766,0.012969405359858386,-0.013001580226504914,-0.5639369941570542,0.1345265114849264,-0.198841470209035,0.1797602210532535,0.011974932117895647,-0.1399274757978591,35.874502420425415,1.9076778888702393
6,-0.6770687527501973,0.1292713538647812,-0.07437935838569391,0.2342387037438767,0.01304215770737033,0.0010024138647958497,-0.5753285017880526,0.12781331959095868,-0.21646989407864484,0.1759262206879529,0.013680679342624817,-0.15957762097770517,38.33527731895447,1.6525700092315674
7,-0.6507676735381099,0.11546644617185414,-0.08288694779762876,0.23875579105637898,0.014295693095251222,-0.0027434830597349415,-0.5842977227135138,0.09497122669761832,-0.19542905349623074,0.17943193086168982,0.011424639219926163,-0.14322109960696913,31.649298667907715,1.5699608325958252
8,-0.6520161134034186,0.09488783846391696,-0.08201862737170865,0.2457352937242695,0.014075070045122477,-0.0007887385942250769,-0.6023301563479684,0.09259136833927849,-0.17523018541661176,0.18948666209524329,0.011134942824190313,-0.12032578885555267,28.393551111221313,1.6239373683929443
9,-0.6506626566515139,0.09132242481285166,-0.09374031796181034,0.2527133122643578,0.013823410293748863,-0.009494277413621128,-0.6230706789276816,0.08695625446059486,-0.18723454461856323,0.19495989991859955,0.011604919394647533,-0.13176110725511203,28.08734941482544,1.675745964050293
10,-0.6865103594680256,0.085799680378671,-0.08169655024866078,0.23447515223627893,0.01360063944621203,-0.010929408787845452,-0.6251825636083429,0.08403860235756094,-0.1785690120675347,0.18753727119077335,0.01215499537912282,-0.12675977328961546,29.381441116333008,1.5435476303100586
11,-0.679791641273649,0.08293582558214108,-0.08886410993421624,0.24256391621360154,0.01288181404087031,-0.014385921053727654,-0.6419853947379373,0.08495182543992996,-0.16344360600818286,0.19436752118847586,0.011126995679329742,-0.11083620922131972,26.95379662513733,1.7001495361328125
12,-0.6807845074196006,0.08597730751210284,-0.10470310906296439,0.2598045557458824,0.013457411334405993,-0.020824142270416856,-0.6538954431360419,0.08353472365574403,-0.18169908902861856,0.19988248497247696,0.012353876266967167,-0.12644003670323978,26.549879789352417,1.7054698467254639
