epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_total,seconds_train,seconds_val
0,-0.5670453193728054,0.7747625897977953,-0.004153138209378051,0.28885085570895785,0.16104401212847122,-0.3475118494507941,0.4575557491996072,-0.18923751976002345,0.1870748536153273,-0.08469570834528316,58.10124492645264,1.87864089012146
1,-0.5835021023560211,0.32207731289841307,-0.06822871146984746,0.23528249868165665,0.023270058123586335,-0.32538770681077783,0.29428015784783795,-0.22411939027634534,0.2166820080442862,-0.11888914081183347,74.63759756088257,2.0587918758392334
2,-0.5652307642223401,0.2963430849469711,-0.028976432585253196,0.27979718963398,0.08403339616466905,-0.34301337193359027,0.3002312643961473,-0.21525667472319168,0.2546011737801812,-0.09223429316824133,64.33182907104492,1.8381214141845703
3,-0.5476820172239356,0.27626269651907626,-0.05618537771820187,0.2744055735034363,0.053875481413903636,-0.33764439956708386,0.26485413583842193,-0.16066810522567143,0.2004674727266485,-0.06771338324655186,50.60744547843933,1.8362972736358643
4,-0.5287502123060349,0.24836285565501062,-0.07827571966624428,0.26554001046118336,0.0264555503414056,-0.32976346530697564,0.21357374706051566,-0.0975243638862263,0.2061402892524546,-0.0060731978579001,41.65245747566223,1.9717376232147217
5,-0.5223040676492954,0.2133755580844166,-0.09647180374589896,0.2679996615467228,0.006635177358288631,-0.32661445303396747,0.1908774890682914,-0.12417310692200606,0.19418021697889676,-0.0406566858291626,32.56682777404785,1.6293272972106934
6,-0.5244882871248873,0.19291771084905784,-0.07561552518909083,0.2680944216864131,0.025274624578028083,-0.36455167829990387,0.1982544484463605,-0.3259160302748734,0.1912594518878243,-0.24691602113572034,30.823058605194092,1.6254582405090332
7,-0.538524011062963,0.1813990469569358,-0.05793460710931604,0.26229887006578045,0.03750233188550049,-0.3628234036944129,0.16259771449999375,-0.24677495929327878,0.16320586204528809,-0.18519460477612235,31.00139880180359,1.592094898223877
8,-0.5117260474781288,0.16424929441135622,-0.08368327809393267,0.2468129759915521,0.004975526863447974,-0.3771252158013257,0.15987789089029486,-0.2811385147612203,0.18648141554810785,-0.20962252467870712,28.538224697113037,1.5077323913574219
9,-0.5268832419206885,0.16232684909183287,-0.08061485254057796,0.2545070491174114,0.010183028702702478,-0.3909812000664798,0.14238706434314902,-0.17909665913744408,0.17463868246837097,-0.11663672835989432,29.646592378616333,1.4303667545318604
10,-0.5267420412850714,0.13657875943963774,-0.04418630648195465,0.25025432743132114,0.04192452738496745,-0.3743677870793776,0.12400411949916319,-0.23056070100177417,0.1827307086099278,-0.16423171318390153,30.008064031600952,1.627464771270752
11,-0.5576147822854675,0.13348914063143952,-0.05853338580508934,0.26949258146929406,0.033800343312671254,-0.4453911930322647,0.14541006155989386,-0.39726911044933577,0.22023657032034613,-0.31714894554831763,31.29865789413452,1.5094544887542725
12,-0.5938943247354337,0.14254746098663204,-0.1013399542953436,0.2960670871364179,0.0015589048232987662,-0.4541508812795986,0.1495812623338266,-0.4794986708597703,0.2036954333836382,-0.40810791470787744,30.993999481201172,1.3959753513336182
13,-0.5909560936215882,0.12998927147867523,-0.09545307455009946,0.2975812984334531,0.007240892292183137,-0.4535954702984203,0.14051566272974014,-0.3818332258273255,0.19228573346679861,-0.3169983432374217,28.66900873184204,1.5103025436401367
14,-0.599173940544095,0.1392298950770191,-0.06707057907141606,0.27539940091354825,0.024634719417195455,-0.5093437812545083,0.14601417156783017,-0.2654454425315965,0.16819715906273236,-0.21767982840538025,27.61799907684326,1.3160388469696045
15,-0.6079445392171913,0.1509804807115938,-0.09658499877077362,0.2699189768912636,-0.007321916102805985,-0.4693838818506761,0.15225922654975543,-0.2507330152121457,0.1728127829053185,-0.19603909145702014,26.993404626846313,1.3871285915374756
16,-0.5868667113272664,0.14951992069727907,-0.09860146596209607,0.25972333654900576,-0.01247447875337066,-0.46033420345999976,0.16054575958035208,-0.15695043780248275,0.18409249186515808,-0.09488303078846498,25.08018660545349,1.3342480659484863
17,-0.6054321049112026,0.14304084699844646,-0.09039308522418837,0.2615462231719605,-0.005859104202729519,-0.5268593782728369,0.14717881381511688,-0.20865766975012692,0.18459592691876672,-0.1543277712030844,25.85289478302002,1.2928705215454102
18,-0.6363451424420368,0.1290807877884847,-0.0886875688793055,0.26308243237783974,-0.007872788635926825,-0.5339029783552344,0.12344729900360107,-0.17098139294169165,0.18572844158519397,-0.11916273798454892,25.400328874588013,1.326317548751831
