experiment,fold,selection,encoder_sha256,n_periods,n_valid,score_std,score_spread,spar_thresh,spread_below_thresh,pi_support,pi_pr,cap_budget,fill_periods,cap_sum,book_n,book_pr
e2e_noselect,f1_2018_2019,identity,db4bc2ff93db7722,24,116.58333333333331,0.003764534678003,0.0054776389673591,0.0085787610738912,1.0,116.58333333333331,116.5833390830749,11.658336679140726,0.0,11.658333507056035,14.916666666666666,10.849032678237458
e2e_noselect,f2_2020_2021,identity,588ee59f48e48985,24,118.75,0.0040400910199691,0.0075066559679558,0.008421517643958,0.7083333333333334,118.75,118.74999134578604,11.875003933906555,0.0,11.87500017695129,16.125,11.020249673299702
e2e_noselect,f3_2022_2026,identity,58a60d1cfa7ca83b,55,118.92727272727272,0.0077935734139439,0.0087356956030775,0.0084092744736918,0.4909090909090909,118.92727272727272,118.92725846744976,11.892730678211558,0.0,11.892727307433432,12.854545454545455,10.528428124850578
full_nocost,f1_2018_2019,sparsemax,24eb29304a6fac44,24,116.58333333333331,0.0631218302050207,0.0967617072114849,0.0085787610738912,0.0,24.791666666666668,17.125080750448138,1.5200340102116268,0.0,1.5200339905261064,13.333333333333334,10.911551853509794
full_nocost,f2_2020_2021,sparsemax,849ba6ae557b5dbd,24,118.75,0.0756328518048654,0.1321967109864368,0.008421517643958,0.0,19.625,11.434314978828198,0.9875938147306442,0.5416666666666666,1.0780329440876812,50.208333333333336,14.116051258619356
full_nocost,f3_2022_2026,sparsemax,84fe17d4de768c09,55,118.92727272727272,0.0187673780136012,0.0335503169531327,0.0084092744736918,0.0,59.054545454545455,43.01458149505006,3.812691580165516,0.0,3.8126916019509935,19.581818181818186,11.5218518687104
full_nocvar_loss,f1_2018_2019,sparsemax,90582f83e1e67e2b,24,116.58333333333331,0.0088031521046057,0.0149522862544133,0.0085787610738912,0.0,91.66666666666669,62.210974756224005,5.442027548948924,0.0,5.442027591698206,76.83333333333333,27.68466497769012
full_nocvar_loss,f2_2020_2021,sparsemax,cc15786b2385a853,24,118.75,0.0515989218822656,0.0695355056273518,0.008421517643958,0.0,27.291666666666668,19.917800686008324,1.7617451697587967,0.0,1.7617451811554854,17.625,11.417131161422128
full_nocvar_loss,f3_2022_2026,sparsemax,398458bc71a6b619,55,118.92727272727272,0.0704762733574223,0.1541305793724271,0.0084092744736918,0.0,26.70909090909091,17.666680882022977,1.5459109913219105,0.0,1.545910997976898,16.727272727272727,11.44317510744743
full_nosparse,f1_2018_2019,sparsemax,e415d6486bd29fca,24,116.58333333333331,0.0128407026505411,0.0167296936122724,0.0085787610738912,0.0,70.83333333333333,45.81668233521064,3.998788019021352,0.0,3.998788209352521,15.791666666666666,11.03629443838245
full_nosparse,f2_2020_2021,sparsemax,013b9303dda50ebb,24,118.75,0.0519205861484085,0.0727492703090608,0.008421517643958,0.0,25.5,18.48670093218945,1.6421563029289246,0.0,1.6421563099089933,13.833333333333334,10.787000054872156
full_nosparse,f3_2022_2026,sparsemax,032754fff8462a7e,55,118.92727272727272,0.011518592500298,0.0223142115311134,0.0084092744736918,0.0,79.45454545454545,60.000310869312685,5.347701722925359,0.0,5.347701538796095,23.29090909090909,12.497407497071611
full_quad,f1_2018_2019,sparsemax,c2f91662a3eba440,24,116.58333333333331,0.0854281050179166,0.1355122211159603,0.0085787610738912,0.0,26.916666666666668,19.84905218424188,1.7661995043357213,0.0,1.7661995092500244,11.708333333333334,10.827455595120284
full_quad,f2_2020_2021,sparsemax,507bf5e89bc9f53f,24,118.75,0.0861437163361586,0.1827327659203986,0.008421517643958,0.0,20.791666666666668,13.848151984610253,1.2267897576093674,0.0833333333333333,1.2327201668895214,17.875,11.646573795616552
full_quad,f3_2022_2026,sparsemax,d92ec6eab7cad382,55,118.92727272727272,0.0036913637043154,0.0076494988818752,0.0084092744736918,0.7636363636363637,118.45454545454544,99.03657134512814,8.899850533225319,0.0,8.899849865480395,17.29090909090909,14.059416662519768
lstm_softmax,f1_2018_2019,softmax,f55fef77012c64d9,24,116.58333333333333,0.0005118949719790448,0.0011258913866953229,0.008578761073891286,1.0,116.58333333333333,116.5832952139188,11.655896544456482,0.0,11.655895290585855,120.5,92.96747355649757
lstm_softmax,f2_2020_2021,softmax,e87008f9e91f6626,24,118.75,0.0032664090767964885,0.013422294189325135,0.008421517643958083,0.041666666666666664,118.75,118.74869455874712,11.862232089042664,0.0,11.86222937082251,71.25,33.559887037415386
lstm_softmax,f3_2022_2026,softmax,e3b5a807c05b56a3,55,118.92727272727272,0.0038036261561717444,0.012179609503276904,0.008409274473691844,0.01818181818181818,118.92727272727272,118.92551056117128,11.875634956359864,0.0,11.875632393224674,91.2909090909091,34.04517177487825
lstm_sparsemax,f1_2018_2019,sparsemax,f55fef77012c64d9,24,116.58333333333333,0.0005118949719790448,0.0011258913866953229,0.008578761073891286,1.0,116.58333333333333,116.1605505744634,11.353293259938559,0.0,11.3532919290786,120.5,92.96606967259284
lstm_sparsemax,f2_2020_2021,sparsemax,e87008f9e91f6626,24,118.75,0.0032664090767964885,0.013422294189325135,0.008421517643958083,0.041666666666666664,112.54166666666667,106.9205252848919,10.18527376651764,0.0,10.185272237148334,73.54166666666667,32.24784178937597
lstm_sparsemax,f3_2022_2026,sparsemax,e3b5a807c05b56a3,55,118.92727272727272,0.0038036261561717444,0.012179609503276904,0.008409274473691844,0.01818181818181818,111.34545454545454,101.80671682845254,9.635697815634988,0.0,9.635696262575047,86.74545454545455,31.90142165222458
lstm_topk,f1_2018_2019,topk,f55fef77012c64d9,24,116.58333333333333,0.0005118949719790448,0.0011258913866953229,0.008578761073891286,1.0,25.0,24.999998206579292,2.4999998112519584,0.0,2.4999999285986028,26.625,21.085148855495248
lstm_topk,f2_2020_2021,topk,e87008f9e91f6626,24,118.75,0.0032664090767964885,0.013422294189325135,0.008421517643958083,0.041666666666666664,25.0,24.99999937073248,2.4999997317790985,0.0,2.499999936359624,25.458333333333332,15.383144427973866
lstm_topk,f3_2022_2026,topk,e3b5a807c05b56a3,55,118.92727272727272,0.0038036261561717444,0.012179609503276904,0.008409274473691844,0.01818181818181818,25.0,24.999998915654377,2.4999998092651365,0.0,2.4999999525872143,28.927272727272726,15.900619367592528
