date,turnover,traded_notional,cost,n_holdings,eff_holdings,hhi,top5_weight,max_weight
2020-01-02,0.5,1.0,0.0015,25.0,11.671739147251659,0.08567703470613203,0.5000829325886911,0.10001748071850276
2020-02-03,0.42525317783263805,0.8505063556652761,0.0012757595334979143,27.0,13.1089548427577,0.07628373215065805,0.500070061785492,0.10001408240240198
2020-03-02,0.32314106723088387,0.6462821344617677,0.0009694232016926516,23.0,12.731650335189194,0.07854441283515974,0.5000628520268832,0.10001268962971169
2020-04-01,0.22708646056731616,0.4541729211346323,0.0006812593817019485,29.0,13.185701479993945,0.07583972695857355,0.4965707611736111,0.10001864781782029
2020-05-06,0.13873044152743888,0.27746088305487776,0.00041619132458231665,24.0,13.108738343594963,0.07628499202507985,0.49056513668080765,0.10001254861892044
2020-06-01,0.2671929389412791,0.5343858778825582,0.0008015788168238374,26.0,12.7764823663464,0.07826880445857518,0.5000422709025573,0.1000085599889774
2020-07-01,0.16885723486341964,0.3377144697268393,0.0005065717045902589,22.0,12.368577502336626,0.08085004114750331,0.49700323493438125,0.10001188156390425
2020-08-03,0.4093103791124582,0.8186207582249164,0.0012279311373373746,18.0,11.745307718363607,0.08514038320481936,0.5000226775872704,0.1000048067293767
2020-09-01,0.0664529158830498,0.1329058317660996,0.00019935874764914942,18.0,11.698873593136748,0.08547831481713412,0.5001386175893053,0.1000323702116056
2020-10-09,0.12842280553191163,0.25684561106382325,0.0003852684165957349,25.0,13.552016538980713,0.07378975646344751,0.5000343988966489,0.10000696323152365
2020-11-02,0.25704397744985863,0.5140879548997173,0.0007711319323495759,27.0,12.279966215973765,0.0814334487906979,0.5000332974197709,0.1000067578383214
2020-12-01,0.19421161877867954,0.3884232375573591,0.0005826348563360386,23.0,13.122328927927466,0.0762059848897523,0.48217650786164346,0.10000633437018278
2021-01-04,0.14107015478227786,0.2821403095645557,0.0004232104643468336,26.0,12.03407039224848,0.08309740323973268,0.5000451904885718,0.10000906343188014
2021-02-01,0.2496854218518022,0.4993708437036044,0.0007490562655554067,20.0,11.6887742859937,0.08555216958875399,0.5000287874495021,0.10000579623458147
2021-03-01,0.12542153539906975,0.2508430707981395,0.00037626460619720925,22.0,11.841839292259788,0.08444634108939753,0.5000225895756718,0.10000515570520797
2021-04-01,0.2708060216050896,0.5416120432101792,0.0008124180648152688,21.0,12.019737725279585,0.08319649087657108,0.501755023980446,0.10087504812780303
2021-05-06,0.19349142016218315,0.3869828403243663,0.0005804742604865495,23.0,11.793602509606789,0.08479173341524981,0.5093433028571723,0.10466697277220022
2021-06-01,0.1385231902928058,0.2770463805856116,0.0004155695708784174,17.0,12.340573160560902,0.0810335133538115,0.5068013764986457,0.10421399987774219
2021-07-01,0.14081511556748,0.28163023113496,0.00042244534670244,18.0,12.318087371685793,0.08118143424591936,0.5026306498863343,0.10698293413537387
2021-08-02,0.20293073093867717,0.40586146187735433,0.0006087921928160315,27.0,11.747122332508722,0.08512723130775804,0.5236521735115636,0.11181693336568566
2021-09-01,0.08725718352424718,0.17451436704849435,0.00026177155057274153,26.0,12.27388548266485,0.08147379258282639,0.5103273426555436,0.10515604797219712
2021-10-08,0.09798314150076096,0.1959662830015219,0.0002939494245022829,24.0,11.303288108785084,0.08846983199718537,0.5114655613680095,0.10554577274763945
2021-11-01,0.14653432183854392,0.29306864367708785,0.0004396029655156318,25.0,12.038457770302891,0.08306711865259463,0.5136390507937997,0.10627936125060528
2021-12-01,0.15727912064764965,0.3145582412952993,0.00047183736194294894,27.0,12.105395708116298,0.08260779111330746,0.5219382953237668,0.10909202970307645
