date,ret_net,ret_gross,bench
2018-01-03,0.0033799156934516627,0.004879915693451663,0.005869573067601053
2018-01-04,0.0026434177946676853,0.0026434177946676853,0.004236861355368049
2018-01-05,0.0065058468572162294,0.0065058468572162294,0.002407133151306917
2018-01-08,0.005074877122331528,0.005074877122331528,0.005172817254869511
2018-01-09,-0.00370409291310784,-0.00370409291310784,0.007004106453130099
2018-01-10,0.019112951848956113,0.019112951848956113,0.004419714550245368
2018-01-11,0.0026069373586364453,0.0026069373586364453,-0.0005292297671388724
2018-01-12,0.0016186268913057165,0.0016186268913057165,0.004616407467372685
2018-01-15,0.015604883266937266,0.015604883266937266,5.6402353514339865e-05
2018-01-16,0.006609060866400411,0.006609060866400411,0.007865519001491794
2018-01-17,0.010238665470491747,0.010238665470491747,-0.002431998512142708
2018-01-18,0.022834484307119558,0.022834484307119558,0.0054848779567340245
2018-01-19,0.010472219519661,0.010472219519661,0.0032724973128355206
2018-01-22,-0.006227207589298683,-0.006227207589298683,0.011948116801368203
2018-01-23,0.04013817983717283,0.04013817983717283,0.010610968866973991
2018-01-24,0.008833213364855264,0.008833213364855264,0.001659375392246032
2018-01-25,-0.007151806198831475,-0.007151806198831475,-0.0056506943359090345
2018-01-26,0.005179581636469142,0.005179581636469142,0.003715900333909339
2018-01-29,-0.0028530736613618947,-0.0028530736613618947,-0.018095429949597563
2018-01-30,-0.02321383048819351,-0.02321383048819351,-0.010673130361771421
2018-01-31,0.005775836245992237,0.005775836245992237,0.004651321687043186
2018-02-01,0.01244137868948721,0.01244137868948721,-0.007016256185308212
2018-02-02,0.0001618668820224426,0.002067429983024907,0.005966888793225378
2018-02-05,0.029778564856558512,0.029778564856558512,0.0006821918338044686
2018-02-06,-0.02556199254458197,-0.02556199254458197,-0.029306623657065156
2018-02-07,-0.012355565441787725,-0.012355565441787725,-0.02371441622781789
2018-02-08,-0.02914573722958956,-0.02914573722958956,-0.009492661789767376
2018-02-09,-0.044122314684297725,-0.044122314684297725,-0.04271996102139575
2018-02-12,-0.005875439443540608,-0.005875439443540608,0.012875910388877365
2018-02-13,0.009371432360082557,0.009371432360082557,0.01170348992672321
2018-02-14,-0.001650166926718257,-0.001650166926718257,0.007960347109653876
2018-02-22,0.015732539255969943,0.015732539255969943,0.02162153632248609
2018-02-23,0.007075483199437861,0.007075483199437861,0.004529214999891895
2018-02-26,0.0075551124808963055,0.0075551124808963055,0.01162580851525985
2018-02-27,-0.014065337074390628,-0.014065337074390628,-0.014432238626738925
2018-02-28,-0.01095173541783531,-0.01095173541783531,-0.0087063978576295
2018-03-01,0.0002678833265226327,0.0002678833265226327,0.006323823829732289
2018-03-02,-0.005166112041908954,-0.003777168977641805,-0.008057447429559605
2018-03-05,0.0005263359544656973,0.0005263359544656973,0.00040732376089303024
2018-03-06,0.00781625082022252,0.00781625082022252,0.012062351904396529
2018-03-07,-0.005154388809234696,-0.005154388809234696,-0.007355372951523331
2018-03-08,0.00274409914998388,0.00274409914998388,0.010143674453512608
2018-03-09,0.005339268548582348,0.005339268548582348,0.007667524826674432
2018-03-12,0.004518595696035578,0.004518595696035578,0.004575715942202185
2018-03-13,-0.004936789586844173,-0.004936789586844173,-0.008821667798621813
2018-03-14,-0.009410060792435424,-0.009410060792435424,-0.004377289472641488
2018-03-15,-0.0024711684797107066,-0.0024711684797107066,0.005601784695510759
2018-03-16,-0.007394621332899359,-0.007394621332899359,-0.009701787480267843
2018-03-19,-0.0016253001337562607,-0.0016253001337562607,0.004394339978285311
2018-03-20,-0.000647521123019958,-0.000647521123019958,0.0008483038059614589
2018-03-21,-0.005391584958480628,-0.005391584958480628,-0.004084136462966903
2018-03-22,-0.0056077434498373584,-0.0056077434498373584,-0.010022333631827585
2018-03-23,-0.02642473611619111,-0.02642473611619111,-0.028707333617056685
2018-03-26,-0.008455453534694277,-0.008455453534694277,-0.006413038064265075
2018-03-27,0.011164873619044538,0.011164873619044538,0.008602273310114539
2018-03-28,-0.006508644947008823,-0.006508644947008823,-0.018029274706882537
2018-03-29,0.008829654969919536,0.008829654969919536,0.01335886042044998
2018-03-30,-0.00304088233692899,-0.00304088233692899,0.0011422298708148038
2018-04-02,0.000999518145939745,0.000999518145939745,-0.0029700671620249697
2018-04-03,-0.008810405819000496,-0.00668580911101921,-0.006287576517225557
2018-04-04,-0.0015353056872582675,-0.0015353056872582675,-0.001972075140539209
2018-04-09,-0.0028474421189215162,-0.0028474421189215162,-0.0005015224278428487
2018-04-10,0.013607292240854347,0.013607292240854347,0.019269417148905843
2018-04-11,0.003085083366659677,0.003085083366659677,0.0028444125798485764
2018-04-12,-0.0053494476239796425,-0.0053494476239796425,-0.010082411807969871
2018-04-13,-0.005208201201463236,-0.005208201201463236,-0.007051467290324243
2018-04-16,-0.013525877186741489,-0.013525877186741489,-0.016088602018788145
2018-04-17,-0.00798102086147127,-0.00798102086147127,-0.01581096510953528
2018-04-18,0.0026142688404340577,0.0026142688404340577,0.004705918507218021
2018-04-19,0.0033467238080826943,0.0033467238080826943,0.012097076108480431
2018-04-20,-0.016911140127108603,-0.016911140127108603,-0.013376390370747115
2018-04-23,-0.005749230026841699,-0.005749230026841699,0.0014548290264793096
2018-04-24,0.019313891646102328,0.019313891646102328,0.02048758024299402
2018-04-25,-0.006226273051472805,-0.006226273051472805,-0.003847312048746554
2018-04-26,-0.008575273967311876,-0.008575273967311876,-0.01912068621698515
2018-04-27,0.0063148469412946245,0.0063148469412946245,0.0003681006981210988
2018-05-02,-0.007588952609822782,-0.007588952609822782,0.0018019224214584906
2018-05-03,0.006064895829938559,0.0076963603186100986,0.007799351804092414
2018-05-04,-0.0030841163368827227,-0.0030841163368827227,-0.004851568551237362
2018-05-07,0.00799283643413533,0.00799283643413533,0.015787005244346286
2018-05-08,0.007530936330373841,0.007530936330373841,0.011603239977010071
2018-05-09,0.003140127164231268,0.003140127164231268,-0.0018205951529808306
2018-05-10,-0.0018713716884215521,-0.0018713716884215521,0.0055380762013745866
2018-05-11,-0.0003031798926982686,-0.0003031798926982686,-0.005193400095785949
2018-05-14,0.006630531986867706,0.006630531986867706,0.009412993049567886
2018-05-15,0.001742905841264597,0.001742905841264597,0.0037869248643993547
2018-05-16,-0.01051191978899097,-0.01051191978899097,-0.007964455521301317
2018-05-17,-0.008205258165501671,-0.008205258165501671,-0.00739652000457669
2018-05-18,0.009989334127753702,0.009989334127753702,0.010096399615046492
2018-05-21,0.00545004375995194,0.00545004375995194,0.004657469464308228
2018-05-22,-0.005986118315060483,-0.005986118315060483,-0.003833989235196733
2018-05-23,-0.008588753275311847,-0.008588753275311847,-0.013216295363270514
2018-05-24,-0.006211896945395023,-0.006211896945395023,-0.00709947186238713
2018-05-25,0.0034536475416296845,0.0034536475416296845,-0.0028007296163243822
2018-05-28,-0.0006937432384974162,-0.0006937432384974162,0.004391958282173869
2018-05-29,-0.003095436407897523,-0.003095436407897523,-0.007630737482736238
2018-05-30,-0.023852474098936725,-0.023852474098936725,-0.021197871414247005
2018-05-31,0.011676915414150793,0.011676915414150793,0.021218264388488173
2018-06-01,-0.0006880111336318836,-0.0006880111336318836,-0.008359720563135276
2018-06-04,0.009241309827800808,0.010535001307660805,0.009809872945317766
2018-06-05,-0.00027167135982113667,-0.00027167135982113667,0.009911365967778751
2018-06-06,-0.0045527901270079885,-0.0045527901270079885,-0.0020714290246701683
2018-06-07,0.0023842743670633446,0.0023842743670633446,-0.0016517383567012933
2018-06-08,-0.014719559741818038,-0.014719559741818038,-0.013416008424717352
2018-06-11,0.002092885375144276,0.002092885375144276,9.680877890261286e-05
2018-06-12,0.011879910423068626,0.011879910423068626,0.01216185749889065
2018-06-13,-0.0009135064227856508,-0.0009135064227856508,-0.009831353408538579
2018-06-14,-0.003395864048154437,-0.003395864048154437,-0.003952550076628647
2018-06-15,0.007178134733891591,0.007178134733891591,-0.005282207620756596
2018-06-19,-0.015194359016369662,-0.015194359016369662,-0.03525230683434455
2018-06-20,-0.004192761392590783,-0.004192761392590783,0.003956514407738254
2018-06-21,0.0004364039779255588,0.0004364039779255588,-0.01168457131338796
2018-06-22,0.002863497987000893,0.002863497987000893,0.004436336006612862
2018-06-25,-0.014138582452209579,-0.014138582452209579,-0.013418725449267921
2018-06-26,-0.01832613019167067,-0.01832613019167067,-0.00824791010487158
2018-06-27,-0.005120728456274231,-0.005120728456274231,-0.020347447568346166
2018-06-28,-0.01202588168039257,-0.01202588168039257,-0.010330700295880901
2018-06-29,0.014474806587425032,0.014474806587425032,0.025546472488666927
2018-07-02,-0.03678389350032822,-0.03678389350032822,-0.0293423966981341
2018-07-03,0.008141348933443562,0.009896957808327183,0.0003862423656024738
2018-07-04,-0.0023235990106821765,-0.0023235990106821765,-0.013355546820573605
2018-07-05,0.003854480101949095,0.003854480101949095,-0.0063350180912817855
2018-07-06,-0.004070158284985385,-0.004070158284985385,0.0067869024582325466
2018-07-09,0.027191020380784442,0.027191020380784442,0.02795172966501336
2018-07-10,-0.001019449846130429,-0.001019449846130429,0.0024086029313794555
2018-07-11,-0.016390450197430507,-0.016390450197430507,-0.017299360305671252
2018-07-12,0.020112988023202782,0.020112988023202782,0.021577566880781607
2018-07-13,-0.005424879364745372,-0.005424879364745372,0.003342031939217005
2018-07-16,-0.012804857311794373,-0.012804857311794373,-0.005899121241718097
2018-07-17,-0.004927233021807082,-0.004927233021807082,-0.006540333578728519
2018-07-18,-0.0030531062639408855,-0.0030531062639408855,-0.00523416211963823
2018-07-19,-0.003168374045956053,-0.003168374045956053,-0.000868382329648032
2018-07-20,0.03071974971433988,0.03071974971433988,0.01882857112021763
2018-07-23,0.019646135562777944,0.019646135562777944,0.009406670194209932
2018-07-24,0.01568912818176938,0.01568912818176938,0.01587049428883258
2018-07-25,0.0002859820680480356,0.0002859820680480356,-0.0011038036988912925
2018-07-26,-0.007830682567870801,-0.007830682567870801,-0.011601306541017542
2018-07-27,-0.0016190121611595726,-0.0016190121611595726,-0.004247074920361915
2018-07-30,0.005820301148145095,0.005820301148145095,-0.0017458403489988283
2018-07-31,0.0007023499275372008,0.0007023499275372008,0.0007332409048854682
2018-08-01,-0.015560856464739734,-0.015560856464739734,-0.019975968093305818
2018-08-02,-0.017627611343060096,-0.01623733550702594,-0.022170494172951027
2018-08-03,-0.002319275215320057,-0.002319275215320057,-0.01651578027717282
2018-08-06,0.0017905817813019342,0.0017905817813019342,-0.01267194643571845
2018-08-07,0.02336448883980596,0.02336448883980596,0.029205234589674056
2018-08-08,-0.009618007567836165,-0.009618007567836165,-0.01613657044299266
2018-08-09,0.011689156790097723,0.011689156790097723,0.025048155721475895
2018-08-10,-0.004169215323467839,-0.004169215323467839,0.0022043368096433813
2018-08-13,-0.009302429347513868,-0.009302429347513868,-0.004309814297370651
2018-08-14,-0.003983069142585203,-0.003983069142585203,-0.005141189061015905
2018-08-15,-0.016357995946644017,-0.016357995946644017,-0.023996374410646726
2018-08-16,0.0006548511581172419,0.0006548511581172419,-0.0046319900266587055
2018-08-17,-0.0091125309289226,-0.0091125309289226,-0.014376477312303959
2018-08-20,0.014052414867187094,0.014052414867187094,0.011651526288017022
2018-08-21,0.009252935431104774,0.009252935431104774,0.0181801526164298
2018-08-22,-0.005217618472400867,-0.005217618472400867,-0.0056195891306715096
2018-08-23,0.0023851210559660257,0.0023851210559660257,0.0036491432998853046
2018-08-24,0.012131955584261092,0.012131955584261092,0.0015990840070905232
2018-08-27,0.011733257790730693,0.011733257790730693,0.024430262613865716
2018-08-28,-0.0017179287232996793,-0.0017179287232996793,-0.0018796013061217476
2018-08-29,-0.0010686709386869392,-0.0010686709386869392,-0.003998887702837295
2018-08-30,-0.011644875852605612,-0.011644875852605612,-0.010476488684610374
2018-08-31,0.008257867083710483,0.008257867083710483,-0.004950800845884951
2018-09-03,-0.002529292053481385,-0.002529292053481385,-0.0038023050867301844
2018-09-04,0.007798173696970804,0.00920802079537689,0.012665809467133915
2018-09-05,-0.017453907961155195,-0.017453907961155195,-0.01954791500242692
2018-09-06,-0.002370621623819273,-0.002370621623819273,-0.010690991640988634
2018-09-07,0.005388468932117722,0.005388468932117722,0.004524529366809915
2018-09-10,-0.006798604342812068,-0.006798604342812068,-0.014515213642190106
2018-09-11,-0.004195361483484366,-0.004195361483484366,-0.0018131196676627326
2018-09-12,-0.0001495360966773831,-0.0001495360966773831,-0.00688131014726201
2018-09-13,0.014117661803513672,0.014117661803513672,0.010787361796823047
2018-09-14,-0.0008662872340624713,-0.0008662872340624713,0.0017067471074745377
2018-09-17,-0.008815560185344296,-0.008815560185344296,-0.011464147419464221
2018-09-18,0.018001050764315924,0.018001050764315924,0.020128256459501115
2018-09-19,0.009976456783874594,0.009976456783874594,0.013167547548551095
2018-09-20,0.0006682653152160762,0.0006682653152160762,-0.0007114000277074206
2018-09-21,0.03597602598923463,0.03597602598923463,0.030319028962585204
2018-09-25,-0.011024559163375646,-0.011024559163375646,-0.008996167583877224
2018-09-26,0.0067142248761093695,0.0067142248761093695,0.011076676835993338
2018-09-27,-0.0012078994289992013,-0.0012078994289992013,-0.003994772040241901
2018-09-28,0.013228333044688657,0.013228333044688657,0.010363968024117653
2018-10-08,-0.0320540144667963,-0.0320540144667963,-0.04302759901966491
2018-10-09,-0.0015054318863236384,-0.00016325001120202367,-0.0006710020982717557
2018-10-10,0.004444459484745621,0.004444459484745621,-0.0021567246246879668
2018-10-11,-0.03708094175864621,-0.03708094175864621,-0.04799000657545549
2018-10-12,0.014646193357933508,0.014646193357933508,0.014920166643092037
2018-10-15,-0.01131683322251854,-0.01131683322251854,-0.013963551945923358
2018-10-16,-0.002477687426239554,-0.002477687426239554,-0.008149110640318091
2018-10-17,0.00692395862261915,0.00692395862261915,0.0055700244871463855
2018-10-18,-0.015809103791686326,-0.015809103791686326,-0.023684626836565137
2018-10-19,0.029853775182602175,0.029853775182602175,0.02974443039821617
2018-10-22,0.03426702018535106,0.03426702018535106,0.04316748090198064
2018-10-23,-0.020467155657210672,-0.020467155657210672,-0.026556649762472517
2018-10-24,0.01696445439269379,0.01696445439269379,0.0015003020174146897
2018-10-25,0.01141234091756017,0.01141234091756017,0.0019153743655750954
2018-10-26,-0.0034866529813992603,-0.0034866529813992603,-0.006471948669702576
2018-10-29,-0.013524104233418387,-0.013524104233418387,-0.030484318455020865
2018-10-30,0.01374135273121091,0.01374135273121091,0.010845890470728481
2018-10-31,-0.003971379906608285,-0.003971379906608285,0.014006190156740983
2018-11-01,-0.008210513965940358,-0.008210513965940358,0.007359448217677533
2018-11-02,0.01687594369313615,0.018170870218115316,0.0356344021269146
2018-11-05,-0.010282734300829093,-0.010282734300829093,-0.008330806926109324
2018-11-06,-0.00703774772076168,-0.00703774772076168,-0.006033004855194757
2018-11-07,-0.005618414546923351,-0.005618414546923351,-0.006549279984054968
2018-11-08,-0.003293530737655529,-0.003293530737655529,-0.0028357091651936006
2018-11-09,-0.019943781136413267,-0.019943781136413267,-0.014109148117092851
2018-11-12,0.008694415431550438,0.008694415431550438,0.011901235702905133
2018-11-13,0.009398400897699567,0.009398400897699567,0.010059339984669124
2018-11-14,-0.010863895884315883,-0.010863895884315883,-0.01002031795874092
2018-11-15,0.012051065346034144,0.012051065346034144,0.011678461521324568
2018-11-16,0.004292370286323247,0.004292370286323247,0.004719385178410196
2018-11-19,0.01490394295359513,0.01490394295359513,0.011336188233719513
2018-11-20,-0.019059398403627168,-0.019059398403627168,-0.02312736851367614
2018-11-21,0.0018504802655857579,0.0018504802655857579,0.002511863320233232
2018-11-22,-0.003627887014092335,-0.003627887014092335,-0.0037392005769237846
2018-11-23,-0.015976952525390498,-0.015976952525390498,-0.02207301437490905
2018-11-26,0.002049802162347051,0.002049802162347051,-0.0007099785613069454
2018-11-27,-0.0008464681092849682,-0.0008464681092849682,-0.0012740496327027229
2018-11-28,0.008748918196861487,0.008748918196861487,0.013289159491812086
