epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.558537321530446,0.6585606170519618,-0.03933765751288365,0.00851402212936744,-0.020821302898142855,-0.26602344689044083,0.38885267214341596,0.18272531438957562,0.012947646223685959,0.20795589279044757,118.80184030532837,2.079232931137085
1,-0.5868876821055781,0.30323264048299714,-0.07590367758063642,0.010017324592704878,-0.09425185726002883,-0.307449609041214,0.23673106188123877,0.1629848466678099,0.013561759652061895,0.16947475617582147,87.58663487434387,2.340038299560547
2,-0.5705307435585569,0.22161703312215003,-0.09111354103621153,0.012160244836820332,-0.1138446653930058,-0.3649665103717284,0.1897829378193075,0.012673302130265669,0.019205105406316845,0.01436006480997259,71.96467781066895,1.9976155757904053
3,-0.5973402229457638,0.1894782051899051,-0.08250404439710138,0.01954277300894374,-0.10374747102952185,-0.39858113635670056,0.14574617621573535,-0.0332208438353105,0.025139598514546047,-0.033364757895469666,66.22899723052979,1.8866913318634033
4,-0.659973094325143,0.14877572581740736,-0.08139720223559678,0.019889652313138464,-0.1126272871180345,-0.4271892796863209,0.15081590278582138,-0.05867225202647122,0.027014286172660915,-0.05929530886086551,57.842626094818115,2.016152858734131
5,-0.6657183160045618,0.14929521026957127,-0.12126695690321103,0.021680248144104054,-0.15122902158733087,-0.45809591900218616,0.16567423126914285,-0.08624388243664395,0.023527281020175327,-0.09195876798846504,55.99727439880371,2.0347349643707275
6,-0.6613281514408522,0.14743532974073906,-0.1569261532721202,0.02126837911738353,-0.1870470595553176,-0.4709379320794886,0.14472566545009613,-0.11462819373065775,0.02255830846049569,-0.12469110553237525,52.71032190322876,2.0170228481292725
7,-0.6401862768840244,0.14430876371969703,-0.1613943570485438,0.021099433174911347,-0.1898826750293943,-0.48902631347829645,0.1463890942660245,-0.15848355875773865,0.02548778582025658,-0.16725950061597608,50.41036677360535,2.0539278984069824
8,-0.6469257843062168,0.12622014222709277,-0.13209228910050774,0.022546291305107696,-0.16161656241778655,-0.47748722542415967,0.10785000974481757,0.008776876059445467,0.026301437480883164,-0.0018854046409780328,52.66179442405701,3.209561586380005
9,-0.6106328898258792,0.10562990184958654,-0.1064584661694599,0.021829232694367873,-0.13512953268435166,-0.4789683845910159,0.1100688861175017,-0.055796023796905174,0.02548183035105467,-0.06720414419065822,57.699546813964844,2.8653762340545654
10,-0.5996077785851391,0.10954033697151956,-0.17635506751612967,0.022517138843261102,-0.20284467332690725,-0.42853686484423553,0.10650832476941022,0.0198040133850141,0.026493499902161686,0.014094663614576513,61.1222198009491,3.0585830211639404
11,-0.5297485733873971,0.11723028254190473,-0.1496078650100967,0.02106298300800205,-0.16979671608770394,-0.4095876487818631,0.13617696884003552,0.011812926016070625,0.025823740119283848,0.010295596989718351,53.695475816726685,2.109614372253418
12,-0.524490183375719,0.13247411396667247,-0.17856716198263733,0.01936116080930215,-0.19840761085702036,-0.41041326793757354,0.11619873141700571,0.03976341675628315,0.024967216971245678,0.03530919009988958,50.731807231903076,2.816159963607788
13,-0.5430941190090713,0.10718151426497306,-0.17109008574900963,0.018872387195361478,-0.19580895546112806,-0.46053585139187897,0.11176057227633217,-0.0017358322035182607,0.02418092248791998,-0.012432428246194666,55.29776692390442,3.6484973430633545
