epoch,train_L_pred,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.5789015541880209,-0.045365679518441525,0.2703123564057261,0.005374714997640559,0.03727505685953058,-0.3777925981716676,-0.1855709281834689,0.1936028389768167,0.008714466271075335,-0.1178343038667332,78.33725261688232,2.0516583919525146
1,-0.606472869969417,-0.0771453563367652,0.2358651764203455,0.010437898115890326,-0.009422156507166747,-0.3808923980051821,-0.16567922044884076,0.19211774658073077,0.010785396930507639,-0.09692418998615308,81.26268124580383,1.9434866905212402
2,-0.6149121562158254,-0.08235836214011658,0.23709119901618111,0.011279588789357064,-0.014024390847744228,-0.4198995530605316,-0.1776716373860836,0.19494254887104034,0.01152908971363848,-0.11066122708672826,68.70210599899292,2.127347230911255
3,-0.608296486610007,-0.09259034152725869,0.2506402923124973,0.012250222489847062,-0.01584962059125722,-0.47888746129518206,-0.2571170252155174,0.18136283619837326,0.01073108660057187,-0.20359326196326452,55.26442265510559,2.077808380126953
4,-0.6099477686927975,-0.0883378307291559,0.2597444091932239,0.012236092169986707,-0.007224312652703201,-0.49309270083904266,-0.1866807687011632,0.19372014633633874,0.010550211226059631,-0.1285797513344071,49.07514929771423,1.881354808807373
5,-0.6219098298662455,-0.09526558679084633,0.23902876494086792,0.012042835598515572,-0.025899355056060253,-0.5045065879821777,-0.16689204661683602,0.1841799718412486,0.009676387956873938,-0.11557633785361593,50.07911992073059,1.93094801902771
6,-0.6390846426485577,-0.08905267392537583,0.2526093876668226,0.013044074843594126,-0.013612375464116302,-0.5370951349085028,-0.2149859836155718,0.19452473724430258,0.010659348177300259,-0.16077378764748573,47.657973527908325,2.04084849357605
7,-0.6546503546012339,-0.09727575515927835,0.2568742435112178,0.012721521148858505,-0.021582150179022385,-0.5436002666299994,-0.16687400842254813,0.19953891228545795,0.013035255526615814,-0.1084293272684921,47.77720069885254,2.1530659198760986
8,-0.645505370450354,-0.10350553933356967,0.2485102859334411,0.014009705285550417,-0.0297912284209628,-0.5638739629225298,-0.22733816504478455,0.22458418255502527,0.018097003329206596,-0.15333646061745557,43.71657395362854,2.0288021564483643
9,-0.663189797235705,-0.08871667881748665,0.26350100965143364,0.01640898968467367,-0.006876160825872533,-0.5621539137580178,-0.3437348746440627,0.21765541488474066,0.014997276223518631,-0.2761252991516482,44.341668128967285,2.0612545013427734
10,-0.6720151217288781,-0.09253388384757476,0.26580081434450414,0.014861574788168769,-0.01197341241151373,-0.5857626633210615,-0.2369508943097158,0.21232377670027994,0.014410941522907127,-0.1749543466351249,42.84581637382507,1.9452171325683594
11,-0.6786264328756065,-0.07453444710645442,0.2546160855443678,0.013720173863084795,-0.001368872812627075,-0.5855853395028547,-0.23739384216341106,0.2270490527153015,0.01571440032090653,-0.16671345044266095,42.33855438232422,1.8614141941070557
12,-0.6862540641956241,-0.08410131073965926,0.2610558864669265,0.014743302839973542,-0.007455465192340802,-0.6064450253139843,-0.2376085902479562,0.23070193149826743,0.015189882113852284,-0.16771224682981317,39.86566495895386,1.6731843948364258
13,-0.6850274505319996,-0.10900884532482824,0.2656572977098349,0.014104955585969386,-0.030577985160749093,-0.5988789796829224,-0.22642080519687047,0.22779259221120315,0.015264899469912052,-0.1571475128558549,36.93808937072754,1.5760059356689453
14,-0.7024692112458086,-0.08618837351275381,0.2656049602360369,0.013957941996055507,-0.009674873237854967,-0.5961365320465781,-0.316067350520329,0.213384133848277,0.014445688956501808,-0.25454324687069113,37.782217502593994,1.5931017398834229
15,-0.7027352481523407,-0.09080433672311429,0.2679321613406467,0.014722115451591872,-0.012389666984014423,-0.597146440636028,-0.26092997227202763,0.20090447095307437,0.013016730631616983,-0.20717565605247562,38.93610596656799,1.6132755279541016
