epoch,train_L_pred,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.42771806151617364,-0.05710434649947537,0.30177469129662915,0.004775453315408205,0.0557866470708725,-1.079704230481928,-0.18022789094935765,0.09923242303458127,0.008638354991985992,-0.22994374564256181,54.777732372283936,1.913970708847046
1,-0.46894581788724443,-0.05782685392951391,0.2507576367043587,0.011814871962821806,0.03247225000691342,-1.0856910943984985,-0.17621849722821603,0.09973932226950472,0.012039853175255385,-0.22287809349257837,64.79702734947205,1.647200345993042
2,-0.4720337612172925,-0.07760324297719691,0.2584967134767268,0.013592727594526417,0.018034467765365738,-1.0687784390016035,-0.09901267357847908,0.137161255560138,0.013341739773750305,-0.12396814809604124,44.4078164100647,1.7387330532073975
3,-0.44866337019007607,-0.08906002447053969,0.2986866674688925,0.018331648234883886,0.03374862228800733,-1.064061240716414,-0.134720617397265,0.11985196985981682,0.014423960946838964,-0.1667767922309312,43.671727895736694,1.7464799880981445
4,-0.4374826345817152,-0.10590543490217393,0.26851600112326174,0.015222701154290193,-0.0001730005627116525,-1.054128955711018,-0.15117455341599204,0.10910761085423556,0.0136705071834678,-0.18836313113570213,36.03850865364075,1.717362642288208
5,-0.46892349713717596,-0.11370438485440001,0.27387201023029994,0.016085579963288753,-0.007575149367372674,-1.050760198723186,-0.15749173171140932,0.10310003500093114,0.015083357945761898,-0.19593437388539314,36.778172969818115,1.8486521244049072
6,-0.47635556600359547,-0.14165468623928995,0.2751618935221649,0.018261549781155156,-0.03344774629965604,-1.0402258309451016,-0.20793827436864376,0.10769941048188643,0.017151129940016704,-0.24096002954651008,35.48488736152649,1.850693941116333
7,-0.4662117874025401,-0.12212246502553259,0.28044431369347744,0.018848703871200603,-0.009672783562038318,-1.01894873380661,-0.19806662032550032,0.10673766109076413,0.015282973774116148,-0.2313096889040687,30.383475065231323,1.8234288692474365
8,-0.5013267064063125,-0.09649140731128583,0.2817121688500944,0.016344538609306496,0.010576541524335563,-1.0106707540425388,-0.20097899369218133,0.11060957746072249,0.012812594629146835,-0.2339286863465201,28.792841911315918,1.7915573120117188
9,-0.5469686146545033,-0.10774631358413811,0.2709418142057327,0.0147484772479588,-0.01222378921033029,-1.0180799852718005,-0.18805092573165894,0.1057825003835288,0.01352128458463333,-0.22344639389352364,28.672030687332153,1.7420732975006104
10,-0.5717112645058029,-0.09832298380872571,0.2693574292113982,0.013126464125823724,-0.007688931716852878,-1.0077148838476702,-0.16845781178298322,0.09995530985973099,0.01199667951600118,-0.2072549726475369,29.69265341758728,1.8035533428192139
11,-0.5961214232606342,-0.08751965231116278,0.25650912954146604,0.01378377491653145,-0.0050934597356132715,-1.004708170890808,-0.17702691574496301,0.1040709987282753,0.01350105210969394,-0.21196117861704392,31.244647979736328,1.8183574676513672
12,-0.5924015701804535,-0.11207810089452169,0.2733493781233408,0.01507156088117914,-0.019572007503495158,-1.016572805968198,-0.19320857998999683,0.10593416203152049,0.012592231346802278,-0.229306546124545,30.837214946746826,1.8392093181610107
