epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.5763518757656844,0.632227952235213,-0.02960337834241234,0.2799750347143022,0.0065212011996604435,0.12249294396002437,-0.38541971011595294,0.3124681196429513,-0.18321382863955063,0.1940091692588546,0.008970349984751507,-0.08453405038876967,71.54107427597046,1.800523042678833
1,-0.5743114261008869,0.22405838047232585,-0.07319307474367251,0.23863208830078073,0.011516124769505635,0.02261378794090352,-0.3527886847203428,0.1753789945082231,-0.18396733684295957,0.19881742108951916,0.011455871164798737,-0.0908437195149335,51.16267728805542,1.866377592086792
2,-0.42728040083942537,0.1564930361982818,-0.06457164289569046,0.27288090207866417,0.018051325911481942,0.06284139639584818,-0.27386270920661365,0.13627871803262018,-0.07522268322381107,0.23098165541887283,0.018113806505094875,0.044623557816852226,37.59357261657715,1.9523627758026123
3,-0.4663146573736846,0.12749739736318588,-0.0652950071320634,0.265388041804327,0.018320824080538527,0.05183811966225366,-0.3272566497325897,0.1120098355141553,-0.20874406600540335,0.2519842047582973,0.022360404445366425,-0.08191623335534876,38.60720944404602,2.17932391166687
4,-0.523349752105668,0.1122881747155546,-0.0566866039254955,0.2763534349119552,0.02118984014927366,0.061573792092293224,-0.35214464230970904,0.07427155192602765,-0.2523474551059983,0.2620094567537308,0.020932633937759834,-0.1281973963434046,43.42372274398804,3.743905544281006
5,-0.519897871024071,0.08564420869556542,-0.04754545588794852,0.27532250030296984,0.01996640827088991,0.06665683649132186,-0.3278484764424237,0.07290511375123804,-0.2782627269625664,0.2712712768803943,0.021367805840616875,-0.14675363085486673,54.33251094818115,4.047954320907593
6,-0.552646818353194,0.08726445425336606,-0.050604221746151416,0.26305020788562633,0.020158357239354437,0.05454100287197349,-0.39582384716380725,0.07495544715361162,-0.24053979580375281,0.2529061179269444,0.02173520539971915,-0.12443835017356006,50.321486473083496,4.238105297088623
7,-0.5862384620949487,0.08313042311885646,-0.07187726762076126,0.26154917342779793,0.019405240567279197,0.02799175459473768,-0.40925823422995483,0.07059658792885867,-0.2164115451953628,0.24119202318516644,0.02021005487238819,-0.10947165299545634,54.61723470687866,3.4809365272521973
8,-0.6277495227127432,0.07593301836853829,-0.06560888976102398,0.25813748294087213,0.017364460239448,0.025642660611840052,-0.4486250416799025,0.06620698930187659,-0.24622004275972192,0.23769436912103134,0.01878107356076891,-0.14683359996839004,52.14498543739319,3.9547433853149414
9,-0.6433946378180914,0.07640028208772713,-0.0660299511243389,0.25548094361324175,0.01631522539863798,0.021326305057470487,-0.4876849244941365,0.0710796598683704,-0.2711736691946333,0.22864427552981811,0.017612675882198593,-0.18089936741373755,51.83131432533264,3.6132280826568604
10,-0.6814567605468714,0.07754545676234727,-0.06352322410235059,0.2535704885757415,0.01651760860494225,0.0193884911833801,-0.5340756719762628,0.07412697645750913,-0.28220923854546115,0.22724423692985016,0.017684520814906467,-0.19689749519933353,49.861751079559326,3.1899476051330566
11,-0.6940896838346374,0.07816993678423846,-0.06957308574749384,0.25567391013430657,0.01650535267403471,0.013177247770200266,-0.5270007930018685,0.07761667431755499,-0.2610149952498349,0.23033141954378647,0.018141407265581867,-0.17264628816734662,47.96790933609009,3.4257733821868896
12,-0.6743770408853192,0.07917384953003063,-0.06940488926587608,0.2593477447734815,0.017323551960637635,0.018072213960167404,-0.5321753512729298,0.0716238570484248,-0.24418862434950742,0.2305905588648536,0.01820630817250772,-0.15674218061295422,48.67682385444641,3.4238522052764893
13,-0.6712256448569699,0.08275204806405807,-0.0704237571090599,0.25763350189010675,0.017165931185411515,0.016711559503504607,-0.4646765345876867,0.08407001197338104,-0.22824656319889156,0.2261564711278135,0.018320056694475086,-0.13490893285382877,47.85572934150696,3.445059061050415
14,-0.6083930431752005,0.08328260742476053,-0.07290842048127517,0.25671157783994053,0.01723596957625351,0.02017229664896693,-0.4081335663795471,0.06448203189806505,-0.25123101015659893,0.232055356556719,0.01747071658345786,-0.1520977866920558,49.06149983406067,4.021560907363892
15,-0.5389873498580723,0.07208750041845803,-0.07768649954313987,0.25327071638029314,0.016927330193292595,0.019186203620422667,-0.4083312858234752,0.06186333163218065,-0.26575252650813624,0.23465035720305008,0.017981539395722477,-0.1650926054201343,49.17508363723755,4.268678426742554
16,-0.6397990085811258,0.07015838931862996,-0.06617368622813548,0.2614096002392123,0.01739117390014858,0.024958221938147722,-0.5800150985067541,0.06633910164237022,-0.2606592469594695,0.23815528642047534,0.018820224499160595,-0.17412897233258595,49.40134620666504,3.9352588653564453
