epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.4965808742345517,0.8167500100063003,-0.11908273137252749,0.2845308268798217,0.021993734525473974,0.07719333685991418,-0.17430703528225422,0.6119753935120322,0.08821796727451411,0.3597719113935124,0.02302153425460512,0.33489228327843273,91.00572896003723,1.4695684909820557
1,-0.4209606037510715,0.36615252881559707,-0.09401118747164844,0.25298366513643555,0.017756137513477384,0.04475597591487734,-0.06606427478519353,0.2109569636258212,-0.00736160779541189,0.25280252437699924,0.018623325635086407,0.15215225246819583,61.67824029922485,1.432673454284668
2,-0.34737125940564023,0.18644082085549377,-0.10404566458589931,0.24384880742726436,0.017925221380557268,0.01971091797134576,-0.14262096990238537,0.11692199178717354,0.06791225075721741,0.24390420182184738,0.018015545708211986,0.20530999926003543,39.117096185684204,1.5529165267944336
3,-0.4308242715383304,0.14566855889012795,-0.09420587748772542,0.23209146609288137,0.015912455602598782,0.009236740133234562,-0.27682314677671954,0.12361948937177658,0.100396499207074,0.24728048118678006,0.0178866417739879,0.22660301490263504,33.2437744140625,1.38682222366333
4,-0.5251758480089084,0.13527381192636853,-0.11574541258391079,0.24453875436696387,0.01985463510686887,-0.012611605134572237,-0.3682833964174444,0.12312449447133324,0.14044539410282264,0.3042765882882205,0.025667672299525955,0.29373548383062537,31.868192672729492,1.342834711074829
5,-0.5803533656849661,0.11344761495258061,-0.13739459407569143,0.283795370144471,0.023858940065305197,-0.018328544093679837,-0.4045790840278972,0.09675077213482423,0.1797877230088819,0.31144438006661157,0.026741698384284973,0.33146877959370613,31.371634006500244,1.2829630374908447
6,-0.5983061013842812,0.10242078402115189,-0.16249246885715665,0.2837758087019884,0.0241704901523945,-0.04602261127918276,-0.47574576193636114,0.10239298438484018,0.11222492209212347,0.344794478606094,0.027718116783282974,0.27500499971210957,30.779389142990112,1.3581891059875488
7,-0.6482594346073065,0.11677253251994839,-0.14455228273308915,0.296704348631715,0.02466372980643775,-0.02468506925035524,-0.5032421215014025,0.12281068482182243,0.2935574948787689,0.35372473434968427,0.02807464636862278,0.4604513733224435,34.85111451148987,1.4868323802947998
