epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_total,seconds_train,seconds_val
0,-0.42033855967133876,0.8405587242310306,-0.008097765170576343,0.3314934810960149,0.19967098632849842,-1.0624669140035456,0.6345815441825173,-0.1299545063891194,0.10012011636387218,-0.12268298457969319,46.726343393325806,1.9647252559661865
1,-0.4495175297271056,0.5190251850220094,-0.04542218645787742,0.2450824713850596,0.08406981569995363,-1.049335539340973,0.5059176493774761,-0.11904819326644595,0.1040449904447252,-0.12136748974973505,69.66768503189087,1.8877770900726318
2,-0.4634709820257926,0.46494426102523345,-0.05868900791708245,0.2814273941947753,0.08217201987842479,-1.0535776940259067,0.4213291054422205,-0.11273829943754456,0.12194859846071764,-0.11498885534026405,77.73962068557739,2.0784263610839844
3,-0.45239954251594033,0.4329923728862441,-0.07610171748302787,0.33037465523524456,0.08714489387460501,-1.03893611647866,0.4461506659334356,-0.09680458619682626,0.13463996689427982,-0.08876315301114862,65.9429018497467,1.8275725841522217
4,-0.4364917903061373,0.43769001817128744,-0.07093887105135314,0.32005385497966443,0.08920787844851792,-1.0326625433835117,0.36550011147152295,-0.07128368589011105,0.11221131614663384,-0.08189427344636484,53.99790692329407,1.8325304985046387
5,-0.4205365005588855,0.30044068234512605,-0.09676691782043641,0.26847860450486105,0.02546279828052923,-1.0358014106750488,0.25038148056377063,-0.14836474812843584,0.1052481775934046,-0.1742826598611745,37.765607595443726,1.7543683052062988
6,-0.41556328909853135,0.23317297431359807,-0.09890783669045532,0.25211399039590215,0.008910129228270197,-1.0383310372179204,0.23417983542789111,-0.159005306661129,0.10203902220184152,-0.1884009140458974,30.22863221168518,1.9209132194519043
7,-0.4139613764225898,0.21996642092624344,-0.04643959624984537,0.24643890442977467,0.05738036101122936,-1.0360805554823442,0.21852910654111343,-0.15371580015529285,0.10328703170472925,-0.18382742967117915,29.13437247276306,1.750380039215088
8,-0.44050617839198514,0.20512304589690933,-0.083182801206383,0.2505572884377227,0.018557529896497726,-1.044800579547882,0.21742655336856842,-0.15797296369617636,0.10666653276844458,-0.18737710199572824,27.851567268371582,1.7685880661010742
9,-0.43723836011705286,0.21124908776886492,-0.09130777135850435,0.25048924820968904,0.011337922504508352,-1.0436427647417241,0.2223460687832399,-0.16356116059151563,0.10232501544735649,-0.19452832876281304,28.828912019729614,1.8382718563079834
10,-0.4402528985011453,0.19523637984172407,-0.10679127196276403,0.26529477702745474,0.0013544652835432306,-1.043527072126215,0.20736007663336667,-0.14878445829857478,0.11512456224723296,-0.17483887482773175,28.88796043395996,1.7836644649505615
11,-0.4200736115438862,0.17017066101711917,-0.08285560729318714,0.25857857372387344,0.021443386034793163,-0.9935943159190092,0.16759427975524555,-0.2073442077433521,0.11546311392025514,-0.23221265998753635,27.501546621322632,1.954561471939087
12,-0.4052330086075039,0.14144758673676525,-0.1094889211950891,0.25936634753303356,-0.006184289972466159,-0.9525829607790167,0.13327606631950897,-0.16196005808358843,0.10263887081633914,-0.19257131252776494,30.143075942993164,2.064573287963867
13,-0.43345221491104147,0.1253964120903647,-0.09556883537625692,0.24425617650330786,-0.0042463229991585374,-0.9563155553557656,0.12534662607041272,-0.15166304988617246,0.10368594865907323,-0.1829169677062468,33.186997175216675,2.3345377445220947
14,-0.45332171846495334,0.12027028615934303,-0.09500036938452577,0.2501450552638755,-0.0032329877097922637,-0.953328940001401,0.1265054236758839,-0.12200831334021958,0.10325351357460022,-0.15306391736323183,35.99746537208557,1.8790247440338135
15,-0.4831747574484851,0.11905403875083809,-0.07488353372024126,0.24726008336587124,0.012334433171045349,-0.9209901853041216,0.11290114779363979,-0.16430124166336926,0.09656778316606175,-0.1968262612142346,34.23658847808838,2.2456696033477783
16,-0.5059255977941071,0.11112792911120208,-0.0842472546543163,0.2433137718632997,-0.0020701387919575334,-0.9353478334166787,0.11420520733703267,-0.15365653349594635,0.10454810952598398,-0.18349673531272195,33.81070518493652,1.8761658668518066
17,-0.5503121857273291,0.11919047548828354,-0.08942674804501326,0.24828218130103077,-0.008397830089172685,-0.9350275234742598,0.15255637737837704,-0.15069812705571,0.10886987230994484,-0.1745103055780584,33.07112646102905,1.7860450744628906
