date,turnover,traded_notional,cost,n_holdings,eff_holdings,hhi,top5_weight,max_weight
2022-01-04,0.5,1.0,0.0015,15.0,11.521797568422736,0.08679201262315638,0.500062950553645,0.1000133501097867
2022-02-07,0.9142287163107266,1.828457432621453,0.0027426861489321,13.0,11.423719706774142,0.0875371617711357,0.4997205197792973,0.099944358684152
2022-03-01,0.7683726115552172,1.5367452231104344,0.0023051178346656,20.0,13.720482617920956,0.07288373360087586,0.4798865961170856,0.1000022983752918
2022-04-01,0.744122311974932,1.488244623949864,0.0022323669359247,19.0,12.86372400888498,0.07773798624016638,0.49898757484576717,0.1000111398479539
2022-05-05,0.7947536122440559,1.589507224488112,0.0023842608367321,14.0,11.58065770939668,0.08635088136562298,0.49997602900282134,0.099995208780679
2022-06-01,0.9032847121668356,1.806569424333671,0.0027098541365005,14.0,11.392780970516458,0.08777488153137612,0.5001400823534021,0.1000285664047519
2022-07-01,0.999951987731368,1.999903975462736,0.0029998559631941,12.0,11.330360860153368,0.08825844228111046,0.49983373095230577,0.0999672229616877
2022-08-01,0.775567297910165,1.55113459582033,0.0023267018937304,16.0,11.42217386044994,0.08754900881543808,0.5045421510883017,0.1059640248764866
2022-09-01,0.7901970110309661,1.580394022061932,0.0023705910330928,14.0,11.298807119966757,0.08850491820794458,0.5067786686118099,0.1066631754839599
2022-10-10,0.8377914575480044,1.6755829150960089,0.002513374372644,18.0,12.061826443671348,0.08290618379148407,0.5166842146139496,0.1167353882094705
2022-11-01,0.88775142787147,1.77550285574294,0.0026632542836144,14.0,10.607173130549004,0.09427582520737472,0.5097723147210654,0.1096331648756916
2022-12-01,0.8301866585564273,1.6603733171128543,0.0024905599756692,14.0,11.275675404627863,0.08868648343580114,0.5005177714478988,0.1001072792626254
2023-01-03,0.8702790197014012,1.7405580394028024,0.0026108370591042,19.0,12.286102871496691,0.08139277445901599,0.500033369698047,0.1000068050735126
2023-02-01,0.7712881855298397,1.5425763710596794,0.0023138645565895,14.0,11.054132005669947,0.09046390973864557,0.5000210092823941,0.1000045267045849
2023-03-01,0.7710281916171646,1.5420563832343293,0.0023130845748514,13.0,10.894972610237597,0.09178545332553996,0.5004935484611129,0.1000993029281289
2023-04-03,0.7201177243599941,1.4402354487199882,0.0021603531730799,17.0,11.05156345971803,0.09048493488228253,0.4999569841799284,0.0999924979599166
2023-05-04,0.8888591257940568,1.7777182515881136,0.0026665773773821,16.0,11.319394888151502,0.08834394505016716,0.4999878806460282,0.0999976148717302
2023-06-01,0.8111397070607425,1.622279414121485,0.0024334191211822,17.0,12.812744691223015,0.07804728995224725,0.4784779300332713,0.1000237947524568
2023-07-03,0.8129295334119172,1.6258590668238344,0.0024387886002357,17.0,12.502786707401132,0.0799821690478043,0.500000271701188,0.1000000543402376
2023-08-01,0.9174031661504366,1.8348063323008728,0.0027522094984513,15.0,11.10607381863652,0.09004082057531003,0.5000137429926031,0.1000028394962941
2023-09-01,0.6859186437998132,1.3718372875996263,0.0020577559313994,17.0,12.549236914434724,0.07968612010581708,0.5000009230285626,0.1000002307993424
2023-10-09,0.7092435470485117,1.4184870940970231,0.0021277306411455,13.0,10.506762786244,0.0951767942557199,0.4999888068890208,0.0999979893632082
2023-11-01,0.9017602690187908,1.8035205380375816,0.0027052808070563,14.0,10.63836655293542,0.09399939314218043,0.5003527555694518,0.1000745781093538
2023-12-01,0.8933029283488121,1.7866058566976242,0.0026799087850464,14.0,11.715747595340329,0.08535520177967355,0.5000041291933381,0.1000011372724596
2024-01-02,0.9207287138247296,1.841457427649459,0.0027621861414741,15.0,11.300931214268404,0.0884882830485166,0.49999534003761953,0.0999994837495963
2024-02-01,0.8076818731259845,1.615363746251969,0.0024230456193779,13.0,10.447722884773,0.09571463667527459,0.5000366036655428,0.1000073475556363
2024-03-01,0.887946600581113,1.775893201162226,0.0026638398017433,14.0,11.402914925562817,0.08769687457355488,0.49969202773318955,0.0999392798659056
2024-04-01,0.8195179321690564,1.6390358643381129,0.0024585537965071,17.0,12.048082449866373,0.08300076000982962,0.500041195149844,0.1000083105570891
2024-05-06,0.655073855277573,1.310147710555146,0.0019652215658327,14.0,11.098018826130028,0.09010617261213522,0.5000002787488504,0.1000000557497701
2024-06-03,0.6550694531472848,1.3101389062945696,0.0019652083594418,16.0,11.932496300957524,0.0838047609467731,0.49999995556794496,0.099999991113589
2024-07-01,0.5877761804709962,1.1755523609419924,0.0017633285414129,14.0,10.63248799285902,0.0940513641465307,0.49997400952224197,0.0999953398228735
2024-08-01,0.7151062469201118,1.4302124938402236,0.0021453187407603,15.0,11.27387844899752,0.0887006192699301,0.4999870302394366,0.099997477572711
2024-09-02,0.8382455159361333,1.6764910318722666,0.0025147365478084,14.0,10.719087945246777,0.09329151930724056,0.5000647384034638,0.1000138058181562
