epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.5779942915444132,0.7308816759385796,-0.028206128342007506,0.004379479192789191,-0.008537913959856345,-0.38035985691980884,0.3798948661847548,-0.16407625783573498,0.007726494053548033,-0.1563962565057657,61.93028163909912,1.8496053218841553
1,-0.6117825121053051,0.2809630909534258,-0.06819152823327301,0.009204198752103425,-0.09206927171690721,-0.3970591114325957,0.24269650470126758,-0.181844829835675,0.010937161997637966,-0.18634393269365485,63.32422065734863,1.8570058345794678
2,-0.5812936513815249,0.21149243553665198,-0.09974933658491507,0.011011546205677023,-0.12571791441084068,-0.43172526495023206,0.1952830972996625,-0.17757077515125275,0.011788729154928164,-0.1894262587990273,47.21455144882202,2.1499576568603516
3,-0.6297230057692521,0.20264005647084424,-0.08065830205053648,0.012862238451995165,-0.11050436261031672,-0.46304611184380273,0.2150957462462512,-0.25113575406033883,0.01548718424005942,-0.26044360565190966,53.648316621780396,1.7442917823791504
4,-0.6026432151758225,0.19891649554265994,-0.09792949170500875,0.012508385990981325,-0.12579377777178155,-0.48497196490114386,0.17513256045905026,-0.22861825640905986,0.012861682440746914,-0.2467405219477686,44.69726800918579,1.7889249324798584
5,-0.6162756108765917,0.15131899937291013,-0.09978101656241255,0.011530169997381691,-0.13474650938655727,-0.5043802694840864,0.11793440986763347,-0.19072587517174808,0.011103128294714472,-0.21826734343035656,36.516144037246704,1.8590035438537598
6,-0.6176633060970735,0.12574936024775016,-0.07694012830120937,0.012282052475558681,-0.11384946815495457,-0.4932362139225006,0.10745597088878805,-0.17659747939218173,0.010133289605040442,-0.2050422104075551,40.27290439605713,2.0204968452453613
7,-0.6482880782753786,0.10847988077134729,-0.1078184832324857,0.012693831636178717,-0.14910547170683602,-0.5538678954948079,0.09267844733866779,-0.19153185899962077,0.010635719655758956,-0.22701508848165924,46.07076835632324,3.237717628479004
8,-0.6896544669833139,0.10378022161181842,-0.10847170027756245,0.012251519974512614,-0.15480760685124687,-0.559153678742322,0.10519557310776277,-0.17067302086136557,0.009997511854056607,-0.20607131922786887,47.397294998168945,2.199014663696289
9,-0.6795445802821735,0.11173098297598207,-0.10799678773009957,0.014402881277742509,-0.15037527183401528,-0.5942329466342926,0.10716426237062975,-0.22515621849081732,0.013520590960979462,-0.26034250178120355,42.29773187637329,2.3389365673065186
