epoch,train_L_pred,train_L_total,val_L_pred,val_L_total,seconds_train,seconds_val
0,-0.5631853919618457,-0.5631853919618457,-0.6323939263820648,-0.6323939263820648,31.204688549041748,0.7141807079315186
1,-0.6954835721554647,-0.6954835721554647,-0.737327060916207,-0.737327060916207,28.0134174823761,0.6269805431365967
2,-0.7274045357125178,-0.7274045357125178,-0.7598451142284003,-0.7598451142284003,27.296605825424194,0.7559568881988525
3,-0.735925899292449,-0.735925899292449,-0.7630852921442552,-0.7630852921442552,26.551132202148438,0.6503772735595703
4,-0.7394570333470825,-0.7394570333470825,-0.766407363455404,-0.766407363455404,25.148229837417603,0.5386030673980713
5,-0.7412103618146809,-0.7412103618146809,-0.7669575901871378,-0.7669575901871378,23.033936738967896,0.5524139404296875
6,-0.7442755564933515,-0.7442755564933515,-0.7668976372277195,-0.7668976372277195,24.54624056816101,0.6438429355621338
7,-0.7458992931451506,-0.7458992931451506,-0.765950585630807,-0.765950585630807,24.625698566436768,0.5586795806884766
8,-0.7475985409763023,-0.7475985409763023,-0.7645156249742616,-0.7645156249742616,23.486816883087158,0.6845459938049316
9,-0.7493619477475872,-0.7493619477475872,-0.7616428751498461,-0.7616428751498461,23.385001182556152,0.5389657020568848
10,-0.7515352697090338,-0.7515352697090338,-0.7600417077033357,-0.7600417077033357,22.241968631744385,0.5426957607269287
11,-0.7535614400874567,-0.7535614400874567,-0.758030004503036,-0.758030004503036,21.83116626739502,0.5916118621826172
