experiment,fold,selection,encoder_sha256,n_periods,n_valid,score_std,score_spread,spar_thresh,spread_below_thresh,pi_support,pi_pr,cap_budget,fill_periods,cap_sum,book_n,book_pr
full,f1_2018_2019,sparsemax,6c62cd2651494db1,24,116.58333333333333,0.041802802937185135,0.059890899112707376,0.008578761073891286,0.0,28.041666666666668,19.160870982975165,1.6887292464574177,0.0,1.6887292655083002,15.0,10.968318413415515
full,f2_2020_2021,sparsemax,0e99f4391cfe02e5,24,118.75,0.017383943713515912,0.028169563956271803,0.008421517643958083,0.0,58.25,39.27626171794651,3.4380836387475333,0.0,3.438083627744163,25.291666666666668,12.754528186564855
full,f3_2022_2026,sparsemax,d9cdcf430fa5dd7e,55,118.92727272727272,0.0240109963039973,0.04358082878660415,0.008409274473691844,0.0,53.14545454545455,39.61645899546124,3.5261185732754794,0.0,3.5261185805816653,24.345454545454544,12.494534887316352
full_musigma,f1_2018_2019,sparsemax,50a69037d386a291,24,116.58333333333333,0.02356151705635032,0.04268638419959107,0.008578761073891286,0.0,52.083333333333336,37.35763196337799,3.3058073421319327,0.0,3.3058074287991985,26.083333333333332,13.009273404125997
full_musigma,f2_2020_2021,sparsemax,5683f032b28287fb,24,118.75,0.008097321304603595,0.01683101009739026,0.008421517643958083,0.0,94.375,67.19342618858441,5.923099040985107,0.0,5.923099113254011,60.833333333333336,19.65912062821865
full_musigma,f3_2022_2026,sparsemax,e518bfce0dbe943a,55,118.92727272727272,0.07722783020645622,0.10754155992254472,0.008409274473691844,0.0,20.963636363636365,14.340902504012126,1.2576543136076495,0.07272727272727272,1.2614818886663919,15.618181818181819,11.640307356887941
lstm_musigma,f1_2018_2019,sparsemax,b6cd80a7f6be1655,24,116.58333333333333,0.0015148768964283897,0.0030109800405954353,0.008578761073891286,1.0,116.58333333333333,113.00120134743152,10.638872822125753,0.0,10.638871469534934,120.66666666666667,100.25022693458293
lstm_musigma,f2_2020_2021,sparsemax,63f7a3b4feb50e78,24,118.75,0.03017869630315438,0.06088623638253771,0.008421517643958083,0.0,43.791666666666664,24.169090091399458,2.083225667476654,0.0,2.0832256675160465,36.375,15.786553416134305
lstm_musigma,f3_2022_2026,sparsemax,05627ad04e3ee65e,55,118.92727272727272,0.025943592405722783,0.03655087267085397,0.008409274473691844,0.0,43.2,33.462908670975054,3.007695774598555,0.0,3.0076958242399003,47.56363636363636,30.747154566997278
