epoch,train_L_pred,train_L_total,val_L_pred,val_L_total,seconds_train,seconds_val
0,-0.46700158873659986,-0.46700158873659986,-0.4462377070025964,-0.4462377070025964,6.012217044830322,0.1804499626159668
1,-0.6043736694781022,-0.6043736694781022,-0.6508449939164248,-0.6508449939164248,5.5644450187683105,0.154494047164917
2,-0.6703754549967909,-0.6703754549967909,-0.6598814969713037,-0.6598814969713037,5.404311418533325,0.17133808135986328
3,-0.6850812705146654,-0.6850812705146654,-0.6680804328484968,-0.6680804328484968,5.661529541015625,0.14718174934387207
4,-0.6939646612078161,-0.6939646612078161,-0.6667673127217726,-0.6667673127217726,5.182490348815918,0.173248291015625
5,-0.7004689980541992,-0.7004689980541992,-0.6664615706963972,-0.6664615706963972,5.519351482391357,0.19135117530822754
6,-0.7049152847274999,-0.7049152847274999,-0.6665325246073983,-0.6665325246073983,5.251427412033081,0.16963529586791992
7,-0.7095646194104,-0.7095646194104,-0.6668868931857023,-0.6668868931857023,5.4115073680877686,0.1622939109802246
8,-0.7134210372639593,-0.7134210372639593,-0.6650343320586465,-0.6650343320586465,5.839041471481323,0.2188732624053955
9,-0.7179610738269636,-0.7179610738269636,-0.6609751609238711,-0.6609751609238711,6.717143774032593,0.2497105598449707
