epoch,train_L_pred,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.4276032675147416,-0.05529937360867723,0.3017200160636959,0.0046707039070596175,0.05747101058712207,-1.076176106929779,-0.18243556774475359,0.09753076156431978,0.008295801637524908,-0.2329919941892678,53.78928565979004,1.8851678371429443
1,-0.47592075833355085,-0.06534647208874125,0.2438617686191237,0.008237846686605769,0.017230180569037974,-1.0771638480099766,-0.1484089055183259,0.09963393346829848,0.008562492524189029,-0.1977458345619115,79.10276293754578,2.179625988006592
2,-0.5052950492644884,-0.07620718759899757,0.25864009819476,0.011271436519202697,0.013854793789067182,-1.0728025219657205,-0.1536391106518832,0.10255363583564758,0.011303435418416153,-0.19833912023089148,81.4619767665863,1.9752655029296875
3,-0.5146519943106785,-0.11819471127117973,0.25491725563643924,0.012154636194884598,-0.03004663863993553,-1.071861749345606,-0.2178398373706097,0.10017481446266174,0.01366201758554036,-0.2612765818326311,49.34502172470093,2.0215096473693848
4,-0.5029426607112568,-0.11628828805882528,0.26413978124598425,0.014834991002634886,-0.019677668630358684,-1.0487209233370693,-0.22234580615027386,0.10178105126727711,0.012029004452580755,-0.264298367229375,39.1450355052948,2.1809327602386475
5,-0.5129265545093151,-0.12093236961637635,0.26758787834859754,0.013386215492858585,-0.025044869923268456,-1.0474468957294116,-0.27094380354339426,0.107992139052261,0.012610870540480722,-0.3090815572068095,36.961514949798584,2.1333842277526855
6,-0.5542099396193243,-0.12539979417707367,0.26530564109604043,0.014398264502321022,-0.03376970588263259,-1.0433482744477012,-0.19747106434608047,0.10663166303526271,0.01019178085367788,-0.2382982725023546,37.607423067092896,2.1256463527679443
7,-0.5511972942355886,-0.1342965888802007,0.2619314431605569,0.013426380518105734,-0.045024216343390655,-1.0381306301463733,-0.1819243704561483,0.1115464141423052,0.00814210403371941,-0.22182212228124792,35.13620948791504,2.1527934074401855
8,-0.5858495134568538,-0.10462896542690964,0.2636601959904992,0.01426063915602414,-0.017123175773724734,-1.0225930701602588,-0.2280168105763468,0.1150251870805567,0.010067654942924326,-0.26269588035277347,39.831482887268066,2.3924405574798584
9,-0.6238272189196333,-0.1087539998747139,0.26846438062837324,0.015431998538818345,-0.021472531943077064,-1.010817896236073,-0.20073997347869657,0.11247035590085117,0.008130894338881428,-0.2374556896022775,45.811497926712036,2.104733943939209
10,-0.6203922426485153,-0.1058771791587393,0.2595823421535722,0.012619748879897308,-0.025505484373544354,-1.009362746368755,-0.1926320826804096,0.112261908298189,0.007305946666747332,-0.23013145781376146,36.680389642715454,2.1034457683563232
11,-0.6275367739509388,-0.11647517016825143,0.26624511954296065,0.012658273801207542,-0.0334480170115649,-1.0010572726076299,-0.18933451573618434,0.11567132513631474,0.00837594892998988,-0.22322862155058168,37.224801778793335,2.150291919708252
