date,turnover,traded_notional,cost,n_holdings,eff_holdings,hhi,top5_weight,max_weight
2018-01-02,0.5,1.0,0.0015,25.0,13.257247024760389,0.07543044179023842,0.5000703077254314,0.1000225660758834
2018-02-01,0.5957327375602421,1.1914654751204843,0.0017871982126807264,21.0,12.376276743366756,0.08079974460299336,0.5000144486188166,0.10000294187938823
2018-03-01,0.488429618658208,0.976859237316416,0.001465288855974624,22.0,12.015595928528171,0.08322516885123758,0.5000056561138899,0.10000116698606959
2018-04-02,0.7330708612783032,1.4661417225566065,0.0021992125838349095,23.0,12.291672029790359,0.08135589670602816,0.5000190301066966,0.10000429181261584
2018-05-02,0.42299788459306353,0.8459957691861271,0.0012689936537791907,22.0,11.460091194779432,0.08725934052388201,0.5000231489975351,0.10000637774983592
2018-06-01,0.5836426051478589,1.1672852102957179,0.0017509278154435768,27.0,13.864622358764203,0.07212601786934883,0.48966969362705093,0.0999991565469251
2018-07-02,0.7158331603837955,1.431666320767591,0.0021474994811513867,27.0,13.29130169782646,0.0752371756156533,0.49993791824658906,0.09999987710483456
2018-08-01,0.46806381135935765,0.9361276227187153,0.001404191434078073,25.0,13.985357021779249,0.07150335872317812,0.4988229030087388,0.10001169621297962
2018-09-03,0.3846789329462589,0.7693578658925178,0.0011540367988387766,26.0,12.36826765086671,0.08085206661338096,0.501377910453224,0.10142375248813562
2018-10-08,0.3350659268702493,0.6701318537404986,0.001005197780610748,32.0,12.70423685348848,0.07871389769668914,0.5000070528601487,0.10000200515059605
2018-11-01,0.46572918950646686,0.9314583790129337,0.0013971875685194006,28.0,13.96984142835612,0.07158277387244999,0.4982950732106732,0.10000407912752608
2018-12-03,0.6005011933449982,1.2010023866899964,0.0018015035800349945,25.0,13.80933214597703,0.07241479815454527,0.46312611669921,0.10000679612730025
2019-01-02,0.4199389647365439,0.8398779294730878,0.0012598168942096317,33.0,14.260147520800757,0.07012550175524737,0.47222787861157306,0.10002189594788967
2019-02-01,0.6046254944876193,1.2092509889752385,0.001813876483462858,28.0,13.30073569438859,0.07518381110466597,0.4845548538027078,0.10000365767773153
2019-03-01,0.6826054028736488,1.3652108057472976,0.0020478162086209465,29.0,13.178877563295073,0.07587899615860558,0.4999058958892525,0.09998994081755973
2019-04-01,0.40361353642859704,0.8072270728571941,0.0012108406092857912,29.0,15.601690453757477,0.06409561854620455,0.4421570449992989,0.09999941067731241
2019-05-06,0.5091391412120612,1.0182782824241223,0.0015274174236361835,25.0,13.169101045856557,0.0759353274394256,0.492154894620359,0.10004382688998689
2019-06-03,0.42728032564414037,0.8545606512882807,0.001281840976932421,31.0,15.140366200570806,0.06604860059212433,0.46281603231065305,0.09997251093264073
2019-07-01,0.4804054663367766,0.9608109326735532,0.00144121639901033,35.0,14.749247445462712,0.06780006937287017,0.49999349641176927,0.09999987799480332
2019-08-01,0.5976149348155204,1.1952298696310408,0.0017928448044465613,33.0,15.162673699856256,0.06595142913412957,0.4671296964969044,0.10000165140895978
2019-09-02,0.48795782676309923,0.9759156535261985,0.0014638734802892978,39.0,19.98390394954914,0.05004027253756697,0.37611704824464237,0.08859469461695206
2019-10-08,0.49540571925660515,0.9908114385132103,0.0014862171577698154,38.0,18.892993891855788,0.052929673598797404,0.4168388570601944,0.09998386757957411
2019-11-01,0.6534001218597162,1.3068002437194324,0.0019602003655791486,27.0,13.249868892624974,0.07547244490521798,0.49999097375081036,0.09999840634663375
2019-12-02,0.5408030320975555,1.081606064195111,0.0016224090962926666,24.0,12.028635227425335,0.08313495098097215,0.5000359292978848,0.1000089934333008
