epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.22884592905371304,0.9611498304160244,-0.04359435432601765,0.25892455494367933,0.01170885510439704,0.17080716505725252,-0.4373713200065223,0.9443323287096891,0.1870838078585538,0.3315315571698276,0.02055182003162124,0.42409752834249625,98.30199599266052,7.10925817489624
1,-0.23126706947763281,0.8022005780633673,0.02261559249474162,0.15396755861668251,0.006425157913896788,0.16311788016997547,-0.45110033520243387,0.6492476138201627,0.25864172591404483,0.3299675326455723,0.021803350865163586,0.46524355154145847,64.4778482913971,11.509710788726807
2,-0.1535105084585228,0.5580433007464352,-0.060415049229400705,0.31243773967207195,0.014560131928378559,0.15081723363149957,-0.44420037587935274,0.44508369673382153,0.19747423990206284,0.3866285654631528,0.022417728873816403,0.41329460455612704,72.88739252090454,7.407196521759033
3,-0.13811816294195065,0.41610878993229694,-0.11436378565358829,0.37186363976762954,0.019400151547448462,0.11876724290111697,-0.43820676478472625,0.32256060296838934,0.11647979644211856,0.3380373594435779,0.020807993090288204,0.2947418533942916,74.49366331100464,4.642035961151123
4,-0.11418599796941481,0.3132236985916115,-0.022620374852993404,0.33688246113169623,0.016655541717983693,0.18238016300980586,-0.39394270357760514,0.24742437899112701,0.17314379730007864,0.3313473571430553,0.019590574740008873,0.34375621717084537,56.4426383972168,3.164182662963867
5,-0.12261446116559477,0.226453905364117,-0.019492592875767184,0.3420647197818182,0.0171312509127051,0.17905496137149363,-0.433224186682227,0.194725210016424,0.14798987860029394,0.31651948256926105,0.019860439425842327,0.30226016315546905,53.06453824043274,3.183220863342285
6,-0.44019523052027426,0.1872020590018077,0.0190130909568215,0.20130188891058226,0.009367349017579782,0.10373206473662551,-0.3990294872359796,0.18498039381070572,0.10284480588002638,0.29598999565297907,0.02007777252319184,0.2495126656510613,53.79471158981323,3.3512325286865234
7,-0.3026250915220344,0.15056030223348055,0.026034517741077637,0.20450665685067693,0.009833202489752727,0.1229145696655993,-0.2939549461007118,0.11637037247419357,0.12351338768547232,0.27292652970010584,0.019391344860196114,0.26160955090414395,77.20042538642883,2.8911397457122803
8,-0.23422308513019457,0.10724281106727669,0.03430433204840779,0.18948255295315422,0.008130609313729472,0.12447819848410246,-0.35085215080868115,0.08145259896462614,0.17001331055706198,0.3297900381413373,0.020635172894055195,0.3286035250533711,49.08090281486511,3.03310489654541
9,-0.28117049979158193,0.0875124580799097,-0.025705553899822105,0.1734943065402401,0.0070248421671059045,0.048700633256819593,-0.4260533207350157,0.06760139119896022,0.10774066671729088,0.32432226836681366,0.02030056994408369,0.2543571957133033,46.87051510810852,3.3550994396209717
