epoch,train_L_pred,train_L_sparse,train_L_decision,train_L_tail,train_L_turnover,train_L_total,val_L_pred,val_L_sparse,val_L_decision,val_L_tail,val_L_turnover,val_L_total,seconds_train,seconds_val
0,-0.3704053839691073,0.9961156837911491,-0.07885215103805783,0.27439717961901644,0.012745005760274559,0.13366247484662447,-1.0628793944012036,0.9925339005210183,-0.1920575016940182,0.10959420759569515,0.005351031220264055,-0.13894392109730028,55.48408627510071,2.383183479309082
1,-0.3438704616827778,0.977450958217483,-0.08077500659568482,0.30655811116637954,0.01072691585896649,0.14658902233174767,-1.0722477327693591,0.9491924210028215,-0.22711334817788817,0.10292804681442001,0.007607307856563817,-0.18034754481843926,52.33227777481079,3.6843957901000977
2,-0.4171390940087387,0.8552450659763382,-0.04550828519894416,0.32162314940647907,0.013683520380901286,0.17279740374714855,-1.072560505433516,0.7869392145763744,-0.16246888049962846,0.1266405921090733,0.011355150194669312,-0.11635556038130414,60.763752698898315,9.255526781082153
3,-0.4281491788822305,0.7876491575355989,-0.05191944541791117,0.33392189631620084,0.015517724307635462,0.166509223967252,-1.0654867508194663,0.82248516516252,-0.10019178959456357,0.12844091179695996,0.011046334550800648,-0.04922516296871684,78.93564224243164,2.4151854515075684
4,-0.4194453872111906,0.873611408543874,-0.05806750626056399,0.2922398791794317,0.014852000568735313,0.14832103777542172,-1.0666640455072576,0.98105388879776,-0.13490344821052117,0.10520502823320302,0.011323732493275946,-0.07953821105713194,50.246660470962524,2.5276317596435547
5,-0.4332924180899758,0.9580460011240948,-0.028987717321030348,0.22910864996802377,0.012460180171148246,0.15050214662003408,-1.0620659373023293,0.9338803399692882,-0.1197089867835695,0.13788564469326625,0.013208071362565865,-0.05037664740600369,47.84617614746094,3.197901964187622
6,-0.49329880279410315,0.9292285765510008,-0.02494528471121946,0.252501468881067,0.009748180082673768,0.15464659714061452,-1.0716637481342663,0.8673361323096536,-0.1311839006163857,0.15187584066932852,0.013654380571097136,-0.06202436509457501,61.98632764816284,1.535531997680664
7,-0.5350801992308662,0.6285007035875895,-0.026592954611742353,0.2784057586307985,0.011233951444793716,0.13318593351237745,-1.0644463083960793,0.5067003721540625,-0.1046630550514568,0.1695360006256537,0.01386384657499465,-0.061805791475556114,49.18444347381592,1.5749359130859375
