epoch,train_L_pred,train_L_total,val_L_pred,val_L_total,seconds_train,seconds_val
0,-0.45062203858500327,-0.45062203858500327,-0.41152230446988886,-0.41152230446988886,4.926296234130859,0.1577892303466797
1,-0.574150432841243,-0.574150432841243,-0.6383389532566071,-0.6383389532566071,4.934966087341309,0.1623990535736084
2,-0.6683163628260665,-0.6683163628260665,-0.6610972610386935,-0.6610972610386935,5.219993591308594,0.15892505645751953
3,-0.6836166895020788,-0.6836166895020788,-0.6670011959292672,-0.6670011959292672,5.093076467514038,0.16660571098327637
4,-0.6927635381085293,-0.6927635381085293,-0.6686712259596045,-0.6686712259596045,5.332974195480347,0.183274507522583
5,-0.698539797181838,-0.698539797181838,-0.6680077287283811,-0.6680077287283811,5.143409490585327,0.16877174377441406
6,-0.7032351509502558,-0.7032351509502558,-0.6688612509857524,-0.6688612509857524,5.2000463008880615,0.1639692783355713
7,-0.7083572936635987,-0.7083572936635987,-0.6685372022065249,-0.6685372022065249,5.181845426559448,0.16925525665283203
8,-0.711818025316869,-0.711818025316869,-0.6683691983873193,-0.6683691983873193,5.162883043289185,0.15618467330932617
9,-0.7144048190632156,-0.7144048190632156,-0.665580462325703,-0.665580462325703,5.309874057769775,0.16353297233581543
10,-0.7182246613029007,-0.7182246613029007,-0.6610007800839164,-0.6610007800839164,5.174023866653442,0.19109678268432617
11,-0.7224173352609728,-0.7224173352609728,-0.6579318805174394,-0.6579318805174394,5.301713943481445,0.19022870063781738
12,-0.724674852895681,-0.724674852895681,-0.6614214100620963,-0.6614214100620963,5.075243949890137,0.16300439834594727
